attribution_path_id,conversion_event_id,known_user_id,campaign_id,first_touch_channel,last_touch_channel,multi_touch_path,conversion_lag_hours,identity_resolution_dependency_count
attr_00000089,evt_000000731,ku_015034,cmp_006,direct,direct,direct>conversion,89,1
attr_00000090,evt_000000733,ku_002635,cmp_022,social,retargeting,social>retargeting>conversion,90,2
attr_00000091,evt_000000736,ku_005427,cmp_020,organic,retargeting,organic>retargeting>conversion,91,3
attr_00000092,evt_000000740,ku_012497,cmp_002,social,retargeting,social>retargeting>conversion,92,4
attr_00000093,evt_000000754,ku_014673,cmp_028,social,retargeting,social>retargeting>conversion,93,1
attr_00000094,evt_000000759,ku_005241,cmp_003,paid_search,retargeting,paid_search>retargeting>conversion,94,2
attr_00000095,evt_000000761,ku_016485,cmp_039,affiliate,retargeting,affiliate>retargeting>conversion,95,3
attr_00000096,evt_000000788,ku_003106,cmp_035,social,retargeting,social>retargeting>conversion,96,4
attr_00000097,evt_000000798,ku_014989,cmp_014,affiliate,retargeting,affiliate>retargeting>conversion,97,1
attr_00000098,evt_000000804,ku_015148,cmp_037,affiliate,retargeting,affiliate>retargeting>conversion,98,2
attr_00000099,evt_000000807,ku_017905,cmp_024,paid_search,retargeting,paid_search>retargeting>conversion,99,3
attr_00000100,evt_000000808,ku_003841,cmp_037,paid_search,retargeting,paid_search>retargeting>conversion,100,4
attr_00000101,evt_000000847,ku_007999,cmp_024,social,retargeting,social>retargeting>conversion,101,1
attr_00000102,evt_000000869,ku_015873,cmp_022,affiliate,retargeting,affiliate>retargeting>conversion,102,2
attr_00000103,evt_000000875,ku_005929,cmp_038,affiliate,retargeting,affiliate>retargeting>conversion,103,3
attr_00000104,evt_000000882,ku_014483,cmp_003,paid_search,retargeting,paid_search>retargeting>conversion,104,4
attr_00000105,evt_000000893,ku_004285,cmp_002,organic,retargeting,organic>retargeting>conversion,105,1
attr_00000106,evt_000000898,ku_007790,cmp_019,social,retargeting,social>retargeting>conversion,106,2
attr_00000107,evt_000000906,ku_002188,cmp_016,paid_search,retargeting,paid_search>retargeting>conversion,107,3
attr_00000108,evt_000000908,ku_008603,cmp_036,affiliate,retargeting,affiliate>retargeting>conversion,108,4
attr_00000109,evt_000000913,ku_016955,cmp_027,affiliate,retargeting,affiliate>retargeting>conversion,109,1
attr_00000110,evt_000000923,ku_018922,cmp_024,social,retargeting,social>retargeting>conversion,110,2
attr_00000111,evt_000000931,ku_019739,cmp_035,direct,direct,direct>conversion,111,3
attr_00000112,evt_000000934,ku_019297,cmp_003,direct,direct,direct>conversion,112,4
attr_00000113,evt_000000950,ku_014169,cmp_021,direct,direct,direct>conversion,113,1
attr_00000114,evt_000000974,ku_009982,cmp_004,social,retargeting,social>retargeting>conversion,114,2
attr_00000115,evt_000000975,ku_018615,cmp_011,paid_search,retargeting,paid_search>retargeting>conversion,115,3
attr_00000116,evt_000000978,ku_012957,cmp_006,paid_search,retargeting,paid_search>retargeting>conversion,116,4
attr_00000117,evt_000000984,ku_016661,cmp_007,paid_search,retargeting,paid_search>retargeting>conversion,117,1
attr_00000118,evt_000000994,ku_019721,cmp_008,direct,direct,direct>conversion,118,2
attr_00000119,evt_000001005,ku_004561,cmp_013,social,retargeting,social>retargeting>conversion,119,3
attr_00000120,evt_000001006,ku_003848,cmp_039,social,retargeting,social>retargeting>conversion,120,4
attr_00000121,evt_000001014,ku_005289,cmp_013,direct,direct,direct>conversion,121,1
attr_00000122,evt_000001017,ku_009307,cmp_037,direct,direct,direct>conversion,122,2
attr_00000123,evt_000001028,ku_005396,cmp_009,social,retargeting,social>retargeting>conversion,123,3
attr_00000124,evt_000001049,ku_018120,cmp_011,direct,direct,direct>conversion,124,4
attr_00000125,evt_000001061,ku_009467,cmp_025,organic,retargeting,organic>retargeting>conversion,125,1
attr_00000126,evt_000001070,ku_018617,cmp_028,direct,direct,direct>conversion,126,2
attr_00000127,evt_000001089,ku_006994,cmp_019,social,retargeting,social>retargeting>conversion,127,3
attr_00000128,evt_000001094,ku_006196,cmp_038,direct,direct,direct>conversion,128,4
attr_00000129,evt_000001096,ku_005945,cmp_016,direct,direct,direct>conversion,129,1
attr_00000130,evt_000001103,ku_016321,cmp_030,direct,direct,direct>conversion,130,2
attr_00000131,evt_000001114,ku_009809,cmp_032,affiliate,retargeting,affiliate>retargeting>conversion,131,3
attr_00000132,evt_000001133,ku_016717,cmp_024,direct,direct,direct>conversion,132,4
attr_00000133,evt_000001139,ku_016953,cmp_014,organic,retargeting,organic>retargeting>conversion,133,1
attr_00000134,evt_000001154,ku_004959,cmp_032,paid_search,retargeting,paid_search>retargeting>conversion,134,2
attr_00000135,evt_000001188,ku_006511,cmp_031,direct,direct,direct>conversion,135,3
attr_00000136,evt_000001191,ku_004079,cmp_017,affiliate,retargeting,affiliate>retargeting>conversion,136,4
attr_00000137,evt_000001200,ku_003779,cmp_005,social,retargeting,social>retargeting>conversion,137,1
attr_00000138,evt_000001219,ku_014810,cmp_016,affiliate,retargeting,affiliate>retargeting>conversion,138,2
attr_00000139,evt_000001222,ku_017121,cmp_001,social,retargeting,social>retargeting>conversion,139,3
attr_00000140,evt_000001223,ku_019403,cmp_029,affiliate,retargeting,affiliate>retargeting>conversion,140,4
attr_00000141,evt_000001238,ku_014954,cmp_028,paid_search,retargeting,paid_search>retargeting>conversion,141,1
attr_00000142,evt_000001261,ku_019483,cmp_028,affiliate,retargeting,affiliate>retargeting>conversion,142,2
attr_00000143,evt_000001264,ku_013029,cmp_037,social,retargeting,social>retargeting>conversion,143,3
attr_00000144,evt_000001269,ku_007545,cmp_001,social,retargeting,social>retargeting>conversion,144,4
attr_00000145,evt_000001270,ku_001523,cmp_001,affiliate,retargeting,affiliate>retargeting>conversion,145,1
attr_00000146,evt_000001276,ku_010310,cmp_034,affiliate,retargeting,affiliate>retargeting>conversion,146,2
attr_00000147,evt_000001282,ku_015133,cmp_032,social,retargeting,social>retargeting>conversion,147,3
attr_00000148,evt_000001307,ku_017289,cmp_026,direct,direct,direct>conversion,148,4
attr_00000149,evt_000001310,ku_018771,cmp_038,paid_search,retargeting,paid_search>retargeting>conversion,149,1
attr_00000150,evt_000001315,ku_010729,cmp_028,affiliate,retargeting,affiliate>retargeting>conversion,150,2
attr_00000151,evt_000001316,ku_010396,cmp_020,affiliate,retargeting,affiliate>retargeting>conversion,151,3
attr_00000152,evt_000001317,ku_003033,cmp_024,social,retargeting,social>retargeting>conversion,152,4
attr_00000153,evt_000001323,ku_015449,cmp_004,direct,direct,direct>conversion,153,1
attr_00000154,evt_000001334,ku_004575,cmp_032,affiliate,retargeting,affiliate>retargeting>conversion,154,2
attr_00000155,evt_000001337,ku_002231,cmp_004,social,retargeting,social>retargeting>conversion,155,3
attr_00000156,evt_000001340,ku_008186,cmp_023,organic,retargeting,organic>retargeting>conversion,156,4
attr_00000157,evt_000001367,ku_018459,cmp_028,paid_search,retargeting,paid_search>retargeting>conversion,157,1
attr_00000158,evt_000001381,ku_005278,cmp_005,social,retargeting,social>retargeting>conversion,158,2
attr_00000159,evt_000001385,ku_011879,cmp_032,social,retargeting,social>retargeting>conversion,159,3
attr_00000160,evt_000001390,ku_018751,cmp_028,paid_search,retargeting,paid_search>retargeting>conversion,160,4
attr_00000161,evt_000001393,ku_018979,cmp_040,affiliate,retargeting,affiliate>retargeting>conversion,161,1
attr_00000162,evt_000001403,ku_004139,cmp_040,direct,direct,direct>conversion,162,2
attr_00000163,evt_000001405,ku_000326,cmp_007,paid_search,retargeting,paid_search>retargeting>conversion,163,3
attr_00000164,evt_000001408,ku_003972,cmp_024,social,retargeting,social>retargeting>conversion,164,4
attr_00000165,evt_000001417,ku_011138,cmp_040,affiliate,retargeting,affiliate>retargeting>conversion,165,1
attr_00000166,evt_000001428,ku_014846,cmp_023,paid_search,retargeting,paid_search>retargeting>conversion,166,2
attr_00000167,evt_000001430,ku_005661,cmp_030,paid_search,retargeting,paid_search>retargeting>conversion,167,3
attr_00000168,evt_000001431,ku_005842,cmp_013,organic,retargeting,organic>retargeting>conversion,168,4
attr_00000169,evt_000001432,ku_018660,cmp_027,social,retargeting,social>retargeting>conversion,1,1
attr_00000170,evt_000001436,ku_009228,cmp_003,direct,direct,direct>conversion,2,2
attr_00000171,evt_000001440,ku_015652,cmp_037,affiliate,retargeting,affiliate>retargeting>conversion,3,3
attr_00000172,evt_000001463,ku_016820,cmp_031,affiliate,retargeting,affiliate>retargeting>conversion,4,4
attr_00000173,evt_000001475,ku_018471,cmp_012,social,retargeting,social>retargeting>conversion,5,1
attr_00000174,evt_000001481,ku_009309,cmp_023,affiliate,retargeting,affiliate>retargeting>conversion,6,2
attr_00000175,evt_000001485,ku_018859,cmp_040,direct,direct,direct>conversion,7,3
attr_00000176,evt_000001486,ku_019280,cmp_006,direct,direct,direct>conversion,8,4
attr_00000177,evt_000001495,ku_013577,cmp_012,social,retargeting,social>retargeting>conversion,9,1
attr_00000178,evt_000001502,ku_008864,cmp_037,direct,direct,direct>conversion,10,2
attr_00000179,evt_000001503,ku_012766,cmp_005,organic,retargeting,organic>retargeting>conversion,11,3
attr_00000180,evt_000001522,ku_004117,cmp_006,paid_search,retargeting,paid_search>retargeting>conversion,12,4
attr_00000181,evt_000001530,ku_010971,cmp_017,organic,retargeting,organic>retargeting>conversion,13,1
attr_00000182,evt_000001532,ku_000410,cmp_008,paid_search,retargeting,paid_search>retargeting>conversion,14,2
attr_00000183,evt_000001535,ku_002136,cmp_018,paid_search,retargeting,paid_search>retargeting>conversion,15,3
attr_00000184,evt_000001546,ku_008374,cmp_008,direct,direct,direct>conversion,16,4
attr_00000185,evt_000001550,ku_005954,cmp_001,paid_search,retargeting,paid_search>retargeting>conversion,17,1
attr_00000186,evt_000001579,ku_001741,cmp_017,affiliate,retargeting,affiliate>retargeting>conversion,18,2
attr_00000187,evt_000001581,ku_005188,cmp_033,social,retargeting,social>retargeting>conversion,19,3
attr_00000188,evt_000001598,ku_006742,cmp_027,affiliate,retargeting,affiliate>retargeting>conversion,20,4
attr_00000189,evt_000001599,ku_009792,cmp_025,direct,direct,direct>conversion,21,1
attr_00000190,evt_000001603,ku_004077,cmp_016,affiliate,retargeting,affiliate>retargeting>conversion,22,2
attr_00000191,evt_000001606,ku_000429,cmp_012,social,retargeting,social>retargeting>conversion,23,3
attr_00000192,evt_000001613,ku_010764,cmp_020,direct,direct,direct>conversion,24,4
attr_00000193,evt_000001614,ku_017190,cmp_027,direct,direct,direct>conversion,25,1
attr_00000194,evt_000001615,ku_007994,cmp_015,affiliate,retargeting,affiliate>retargeting>conversion,26,2
attr_00000195,evt_000001617,ku_018228,cmp_026,paid_search,retargeting,paid_search>retargeting>conversion,27,3
attr_00000196,evt_000001623,ku_007202,cmp_006,direct,direct,direct>conversion,28,4
attr_00000197,evt_000001625,ku_003104,cmp_013,social,retargeting,social>retargeting>conversion,29,1
attr_00000198,evt_000001626,ku_018287,cmp_009,organic,retargeting,organic>retargeting>conversion,30,2
attr_00000199,evt_000001644,ku_011192,cmp_039,paid_search,retargeting,paid_search>retargeting>conversion,31,3
attr_00000200,evt_000001647,ku_019056,cmp_021,direct,direct,direct>conversion,32,4
attr_00000201,evt_000001655,ku_006311,cmp_009,affiliate,retargeting,affiliate>retargeting>conversion,33,1
attr_00000202,evt_000001678,ku_013758,cmp_039,direct,direct,direct>conversion,34,2
attr_00000203,evt_000001686,ku_011272,cmp_024,affiliate,retargeting,affiliate>retargeting>conversion,35,3
attr_00000204,evt_000001692,ku_006644,cmp_015,social,retargeting,social>retargeting>conversion,36,4
attr_00000205,evt_000001694,ku_014988,cmp_010,affiliate,retargeting,affiliate>retargeting>conversion,37,1
attr_00000206,evt_000001698,ku_010278,cmp_007,social,retargeting,social>retargeting>conversion,38,2
attr_00000207,evt_000001740,ku_016429,cmp_021,direct,direct,direct>conversion,39,3
attr_00000208,evt_000001741,ku_003121,cmp_020,organic,retargeting,organic>retargeting>conversion,40,4
attr_00000209,evt_000001757,ku_018661,cmp_034,social,retargeting,social>retargeting>conversion,41,1
attr_00000210,evt_000001758,ku_003311,cmp_034,organic,retargeting,organic>retargeting>conversion,42,2
attr_00000211,evt_000001779,ku_012090,cmp_008,social,retargeting,social>retargeting>conversion,43,3
attr_00000212,evt_000001783,ku_010089,cmp_032,organic,retargeting,organic>retargeting>conversion,44,4
attr_00000213,evt_000001788,ku_016092,cmp_023,social,retargeting,social>retargeting>conversion,45,1
attr_00000214,evt_000001790,ku_018325,cmp_033,organic,retargeting,organic>retargeting>conversion,46,2
attr_00000215,evt_000001792,ku_003256,cmp_034,paid_search,retargeting,paid_search>retargeting>conversion,47,3
attr_00000216,evt_000001798,ku_008484,cmp_035,social,retargeting,social>retargeting>conversion,48,4
attr_00000217,evt_000001814,ku_018718,cmp_034,affiliate,retargeting,affiliate>retargeting>conversion,49,1
attr_00000218,evt_000001835,ku_014621,cmp_005,affiliate,retargeting,affiliate>retargeting>conversion,50,2
attr_00000219,evt_000001840,ku_000092,cmp_023,direct,direct,direct>conversion,51,3
attr_00000220,evt_000001847,ku_000523,cmp_027,paid_search,retargeting,paid_search>retargeting>conversion,52,4
attr_00000221,evt_000001848,ku_009385,cmp_012,direct,direct,direct>conversion,53,1
attr_00000222,evt_000001860,ku_008649,cmp_003,affiliate,retargeting,affiliate>retargeting>conversion,54,2
attr_00000223,evt_000001870,ku_017102,cmp_010,affiliate,retargeting,affiliate>retargeting>conversion,55,3
attr_00000224,evt_000001872,ku_015166,cmp_029,affiliate,retargeting,affiliate>retargeting>conversion,56,4
attr_00000225,evt_000001877,ku_015415,cmp_030,affiliate,retargeting,affiliate>retargeting>conversion,57,1
attr_00000226,evt_000001880,ku_016908,cmp_007,organic,retargeting,organic>retargeting>conversion,58,2
attr_00000227,evt_000001887,ku_015377,cmp_005,organic,retargeting,organic>retargeting>conversion,59,3
attr_00000228,evt_000001890,ku_007490,cmp_019,direct,direct,direct>conversion,60,4
attr_00000229,evt_000001894,ku_010886,cmp_031,direct,direct,direct>conversion,61,1
attr_00000230,evt_000001903,ku_017878,cmp_040,organic,retargeting,organic>retargeting>conversion,62,2
attr_00000231,evt_000001907,ku_000556,cmp_004,organic,retargeting,organic>retargeting>conversion,63,3
attr_00000232,evt_000001916,ku_012521,cmp_038,social,retargeting,social>retargeting>conversion,64,4
attr_00000233,evt_000001918,ku_011497,cmp_027,direct,direct,direct>conversion,65,1
attr_00000234,evt_000001921,ku_005012,cmp_011,paid_search,retargeting,paid_search>retargeting>conversion,66,2
attr_00000235,evt_000001926,ku_004144,cmp_018,social,retargeting,social>retargeting>conversion,67,3
attr_00000236,evt_000001933,ku_015975,cmp_001,organic,retargeting,organic>retargeting>conversion,68,4
attr_00000237,evt_000001935,ku_005038,cmp_004,paid_search,retargeting,paid_search>retargeting>conversion,69,1
attr_00000238,evt_000001948,ku_012381,cmp_002,direct,direct,direct>conversion,70,2
attr_00000239,evt_000001962,ku_006519,cmp_028,social,retargeting,social>retargeting>conversion,71,3
attr_00000240,evt_000001966,ku_012588,cmp_001,paid_search,retargeting,paid_search>retargeting>conversion,72,4
attr_00000241,evt_000001972,ku_009083,cmp_012,direct,direct,direct>conversion,73,1
attr_00000242,evt_000001981,ku_015739,cmp_008,organic,retargeting,organic>retargeting>conversion,74,2
attr_00000243,evt_000001991,ku_018539,cmp_002,organic,retargeting,organic>retargeting>conversion,75,3
attr_00000244,evt_000001993,ku_007387,cmp_040,affiliate,retargeting,affiliate>retargeting>conversion,76,4
attr_00000245,evt_000002002,ku_003142,cmp_023,affiliate,retargeting,affiliate>retargeting>conversion,77,1
attr_00000246,evt_000002037,ku_002759,cmp_037,social,retargeting,social>retargeting>conversion,78,2
attr_00000247,evt_000002042,ku_019744,cmp_025,affiliate,retargeting,affiliate>retargeting>conversion,79,3
attr_00000248,evt_000002043,ku_015716,cmp_030,organic,retargeting,organic>retargeting>conversion,80,4
attr_00000249,evt_000002052,ku_007594,cmp_021,organic,retargeting,organic>retargeting>conversion,81,1
attr_00000250,evt_000002054,ku_005405,cmp_024,social,retargeting,social>retargeting>conversion,82,2
attr_00000251,evt_000002055,ku_000376,cmp_040,direct,direct,direct>conversion,83,3
attr_00000252,evt_000002061,ku_009447,cmp_013,paid_search,retargeting,paid_search>retargeting>conversion,84,4
attr_00000253,evt_000002074,ku_019771,cmp_017,affiliate,retargeting,affiliate>retargeting>conversion,85,1
attr_00000254,evt_000002075,ku_000012,cmp_014,paid_search,retargeting,paid_search>retargeting>conversion,86,2
attr_00000255,evt_000002078,ku_015565,cmp_040,social,retargeting,social>retargeting>conversion,87,3
attr_00000256,evt_000002093,ku_001925,cmp_012,social,retargeting,social>retargeting>conversion,88,4
attr_00000257,evt_000002098,ku_015874,cmp_003,paid_search,retargeting,paid_search>retargeting>conversion,89,1
attr_00000258,evt_000002099,ku_010788,cmp_023,paid_search,retargeting,paid_search>retargeting>conversion,90,2
attr_00000259,evt_000002113,ku_007294,cmp_029,paid_search,retargeting,paid_search>retargeting>conversion,91,3
attr_00000260,evt_000002129,ku_012156,cmp_003,social,retargeting,social>retargeting>conversion,92,4
attr_00000261,evt_000002135,ku_006229,cmp_009,organic,retargeting,organic>retargeting>conversion,93,1
attr_00000262,evt_000002139,ku_007597,cmp_024,organic,retargeting,organic>retargeting>conversion,94,2
attr_00000263,evt_000002141,ku_010103,cmp_019,paid_search,retargeting,paid_search>retargeting>conversion,95,3
attr_00000264,evt_000002150,ku_001858,cmp_003,affiliate,retargeting,affiliate>retargeting>conversion,96,4
attr_00000265,evt_000002166,ku_004258,cmp_009,organic,retargeting,organic>retargeting>conversion,97,1
attr_00000266,evt_000002173,ku_018633,cmp_027,organic,retargeting,organic>retargeting>conversion,98,2
attr_00000267,evt_000002179,ku_000203,cmp_037,affiliate,retargeting,affiliate>retargeting>conversion,99,3
attr_00000268,evt_000002183,ku_014283,cmp_024,affiliate,retargeting,affiliate>retargeting>conversion,100,4
attr_00000269,evt_000002194,ku_004972,cmp_020,paid_search,retargeting,paid_search>retargeting>conversion,101,1
attr_00000270,evt_000002202,ku_007785,cmp_005,paid_search,retargeting,paid_search>retargeting>conversion,102,2
attr_00000271,evt_000002206,ku_015349,cmp_007,direct,direct,direct>conversion,103,3
attr_00000272,evt_000002220,ku_001582,cmp_021,paid_search,retargeting,paid_search>retargeting>conversion,104,4
attr_00000273,evt_000002222,ku_002276,cmp_038,paid_search,retargeting,paid_search>retargeting>conversion,105,1
attr_00000274,evt_000002223,ku_001463,cmp_021,affiliate,retargeting,affiliate>retargeting>conversion,106,2
attr_00000275,evt_000002234,ku_019634,cmp_025,organic,retargeting,organic>retargeting>conversion,107,3
attr_00000276,evt_000002237,ku_005367,cmp_039,social,retargeting,social>retargeting>conversion,108,4
attr_00000277,evt_000002239,ku_003910,cmp_030,organic,retargeting,organic>retargeting>conversion,109,1
attr_00000278,evt_000002245,ku_003830,cmp_040,social,retargeting,social>retargeting>conversion,110,2
attr_00000279,evt_000002249,ku_009303,cmp_014,social,retargeting,social>retargeting>conversion,111,3
