cluster_id,real_identity_id,known_user_id,cluster_size,edge_count,identity_confidence_score,explainability
cluster_000026,rid_000026,ku_000026,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000027,rid_000027,ku_000027,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000028,rid_000028,ku_000028,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000029,rid_000029,ku_000029,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000030,rid_000030,ku_000030,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000031,rid_000031,ku_000031,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000032,rid_000032,ku_000032,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000033,rid_000033,ku_000033,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000034,rid_000034,ku_000034,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000035,rid_000035,ku_000035,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000036,rid_000036,ku_000036,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000037,rid_000037,ku_000037,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000038,rid_000038,ku_000038,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000039,rid_000039,ku_000039,5,3,91.6,cluster created from ground truth surfaces plus resolved identity edges
cluster_000040,rid_000040,ku_000040,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000041,rid_000041,ku_000041,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000042,rid_000042,ku_000042,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000043,rid_000043,ku_000043,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000044,rid_000044,ku_000044,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000045,rid_000045,ku_000045,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000046,rid_000046,ku_000046,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000047,rid_000047,ku_000047,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000048,rid_000048,ku_000048,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000049,rid_000049,ku_000049,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000050,rid_000050,ku_000050,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000051,rid_000051,ku_000051,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000052,rid_000052,ku_000052,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000053,rid_000053,ku_000053,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000054,rid_000054,ku_000054,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000055,rid_000055,ku_000055,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000056,rid_000056,ku_000056,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000057,rid_000057,ku_000057,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000058,rid_000058,ku_000058,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000059,rid_000059,ku_000059,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000060,rid_000060,ku_000060,5,3,91.6,cluster created from ground truth surfaces plus resolved identity edges
cluster_000061,rid_000061,ku_000061,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000062,rid_000062,ku_000062,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000063,rid_000063,ku_000063,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000064,rid_000064,ku_000064,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000065,rid_000065,ku_000065,5,3,91.6,cluster created from ground truth surfaces plus resolved identity edges
cluster_000066,rid_000066,ku_000066,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000067,rid_000067,ku_000067,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000068,rid_000068,ku_000068,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000069,rid_000069,ku_000069,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000070,rid_000070,ku_000070,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000071,rid_000071,ku_000071,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000072,rid_000072,ku_000072,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000073,rid_000073,ku_000073,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000074,rid_000074,ku_000074,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000075,rid_000075,ku_000075,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000076,rid_000076,ku_000076,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000077,rid_000077,ku_000077,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000078,rid_000078,ku_000078,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000079,rid_000079,ku_000079,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000080,rid_000080,ku_000080,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000081,rid_000081,ku_000081,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000082,rid_000082,ku_000082,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000083,rid_000083,ku_000083,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000084,rid_000084,ku_000084,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000085,rid_000085,ku_000085,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000086,rid_000086,ku_000086,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000087,rid_000087,ku_000087,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000088,rid_000088,ku_000088,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000089,rid_000089,ku_000089,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000090,rid_000090,ku_000090,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000091,rid_000091,ku_000091,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000092,rid_000092,ku_000092,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000093,rid_000093,ku_000093,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000094,rid_000094,ku_000094,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000095,rid_000095,ku_000095,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000096,rid_000096,ku_000096,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000097,rid_000097,ku_000097,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000098,rid_000098,ku_000098,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000099,rid_000099,ku_000099,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000100,rid_000100,ku_000100,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000101,rid_000101,ku_000101,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000102,rid_000102,ku_000102,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000103,rid_000103,ku_000103,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000104,rid_000104,ku_000104,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000105,rid_000105,ku_000105,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000106,rid_000106,ku_000106,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000107,rid_000107,ku_000107,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000108,rid_000108,ku_000108,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000109,rid_000109,ku_000109,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000110,rid_000110,ku_000110,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000111,rid_000111,ku_000111,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000112,rid_000112,ku_000112,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000113,rid_000113,ku_000113,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000114,rid_000114,ku_000114,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000115,rid_000115,ku_000115,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000116,rid_000116,ku_000116,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000117,rid_000117,ku_000117,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000118,rid_000118,ku_000118,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000119,rid_000119,ku_000119,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000120,rid_000120,ku_000120,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000121,rid_000121,ku_000121,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000122,rid_000122,ku_000122,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000123,rid_000123,ku_000123,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000124,rid_000124,ku_000124,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000125,rid_000125,ku_000125,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000126,rid_000126,ku_000126,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000127,rid_000127,ku_000127,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000128,rid_000128,ku_000128,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000129,rid_000129,ku_000129,5,3,91.6,cluster created from ground truth surfaces plus resolved identity edges
cluster_000130,rid_000130,ku_000130,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000131,rid_000131,ku_000131,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000132,rid_000132,ku_000132,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000133,rid_000133,ku_000133,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000134,rid_000134,ku_000134,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000135,rid_000135,ku_000135,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000136,rid_000136,ku_000136,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000137,rid_000137,ku_000137,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000138,rid_000138,ku_000138,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000139,rid_000139,ku_000139,5,3,91.6,cluster created from ground truth surfaces plus resolved identity edges
cluster_000140,rid_000140,ku_000140,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000141,rid_000141,ku_000141,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000142,rid_000142,ku_000142,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000143,rid_000143,ku_000143,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000144,rid_000144,ku_000144,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000145,rid_000145,ku_000145,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000146,rid_000146,ku_000146,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000147,rid_000147,ku_000147,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000148,rid_000148,ku_000148,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000149,rid_000149,ku_000149,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000150,rid_000150,ku_000150,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000151,rid_000151,ku_000151,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000152,rid_000152,ku_000152,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000153,rid_000153,ku_000153,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000154,rid_000154,ku_000154,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000155,rid_000155,ku_000155,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000156,rid_000156,ku_000156,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000157,rid_000157,ku_000157,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000158,rid_000158,ku_000158,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000159,rid_000159,ku_000159,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000160,rid_000160,ku_000160,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000161,rid_000161,ku_000161,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000162,rid_000162,ku_000162,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000163,rid_000163,ku_000163,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000164,rid_000164,ku_000164,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000165,rid_000165,ku_000165,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000166,rid_000166,ku_000166,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000167,rid_000167,ku_000167,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000168,rid_000168,ku_000168,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000169,rid_000169,ku_000169,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000170,rid_000170,ku_000170,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000171,rid_000171,ku_000171,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000172,rid_000172,ku_000172,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000173,rid_000173,ku_000173,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000174,rid_000174,ku_000174,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000175,rid_000175,ku_000175,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000176,rid_000176,ku_000176,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000177,rid_000177,ku_000177,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000178,rid_000178,ku_000178,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000179,rid_000179,ku_000179,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000180,rid_000180,ku_000180,5,3,91.6,cluster created from ground truth surfaces plus resolved identity edges
cluster_000181,rid_000181,ku_000181,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000182,rid_000182,ku_000182,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000183,rid_000183,ku_000183,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000184,rid_000184,ku_000184,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000185,rid_000185,ku_000185,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000186,rid_000186,ku_000186,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000187,rid_000187,ku_000187,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000188,rid_000188,ku_000188,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000189,rid_000189,ku_000189,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000190,rid_000190,ku_000190,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000191,rid_000191,ku_000191,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000192,rid_000192,ku_000192,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000193,rid_000193,ku_000193,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000194,rid_000194,ku_000194,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000195,rid_000195,ku_000195,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000196,rid_000196,ku_000196,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000197,rid_000197,ku_000197,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000198,rid_000198,ku_000198,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000199,rid_000199,ku_000199,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000200,rid_000200,ku_000200,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000201,rid_000201,ku_000201,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000202,rid_000202,ku_000202,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000203,rid_000203,ku_000203,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000204,rid_000204,ku_000204,5,3,91.6,cluster created from ground truth surfaces plus resolved identity edges
cluster_000205,rid_000205,ku_000205,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000206,rid_000206,ku_000206,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000207,rid_000207,ku_000207,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000208,rid_000208,ku_000208,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000209,rid_000209,ku_000209,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000210,rid_000210,ku_000210,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000211,rid_000211,ku_000211,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000212,rid_000212,ku_000212,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000213,rid_000213,ku_000213,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000214,rid_000214,ku_000214,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000215,rid_000215,ku_000215,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000216,rid_000216,ku_000216,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000217,rid_000217,ku_000217,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000218,rid_000218,ku_000218,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000219,rid_000219,ku_000219,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000220,rid_000220,ku_000220,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000221,rid_000221,ku_000221,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000222,rid_000222,ku_000222,5,3,91.6,cluster created from ground truth surfaces plus resolved identity edges
cluster_000223,rid_000223,ku_000223,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000224,rid_000224,ku_000224,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000225,rid_000225,ku_000225,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000226,rid_000226,ku_000226,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000227,rid_000227,ku_000227,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000228,rid_000228,ku_000228,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000229,rid_000229,ku_000229,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000230,rid_000230,ku_000230,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000231,rid_000231,ku_000231,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000232,rid_000232,ku_000232,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000233,rid_000233,ku_000233,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000234,rid_000234,ku_000234,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000235,rid_000235,ku_000235,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000236,rid_000236,ku_000236,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000237,rid_000237,ku_000237,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000238,rid_000238,ku_000238,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000239,rid_000239,ku_000239,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000240,rid_000240,ku_000240,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000241,rid_000241,ku_000241,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000242,rid_000242,ku_000242,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000243,rid_000243,ku_000243,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000244,rid_000244,ku_000244,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000245,rid_000245,ku_000245,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000246,rid_000246,ku_000246,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000247,rid_000247,ku_000247,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000248,rid_000248,ku_000248,5,3,91.6,cluster created from ground truth surfaces plus resolved identity edges
cluster_000249,rid_000249,ku_000249,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000250,rid_000250,ku_000250,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000251,rid_000251,ku_000251,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000252,rid_000252,ku_000252,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000253,rid_000253,ku_000253,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000254,rid_000254,ku_000254,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000255,rid_000255,ku_000255,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000256,rid_000256,ku_000256,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000257,rid_000257,ku_000257,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000258,rid_000258,ku_000258,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000259,rid_000259,ku_000259,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000260,rid_000260,ku_000260,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000261,rid_000261,ku_000261,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000262,rid_000262,ku_000262,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000263,rid_000263,ku_000263,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000264,rid_000264,ku_000264,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000265,rid_000265,ku_000265,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000266,rid_000266,ku_000266,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000267,rid_000267,ku_000267,5,3,91.6,cluster created from ground truth surfaces plus resolved identity edges
cluster_000268,rid_000268,ku_000268,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000269,rid_000269,ku_000269,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000270,rid_000270,ku_000270,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000271,rid_000271,ku_000271,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000272,rid_000272,ku_000272,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000273,rid_000273,ku_000273,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000274,rid_000274,ku_000274,8,6,95.2,cluster created from ground truth surfaces plus resolved identity edges
cluster_000275,rid_000275,ku_000275,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
cluster_000276,rid_000276,ku_000276,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000277,rid_000277,ku_000277,7,5,94.0,cluster created from ground truth surfaces plus resolved identity edges
cluster_000278,rid_000278,ku_000278,6,4,92.8,cluster created from ground truth surfaces plus resolved identity edges
