real_identity_id,anonymous_user_id,first_seen_at,source_channel,cookie_reset_flag
rid_017672,au_000081,2024-11-01 12:00:00,direct,False
rid_000715,au_000082,2024-11-01 12:09:00,organic,False
rid_009934,au_000083,2024-11-01 12:18:00,social,True
rid_006044,au_000084,2024-11-01 12:27:00,social,False
rid_016978,au_000085,2024-11-01 12:36:00,organic,False
rid_009850,au_000086,2024-11-01 12:45:00,organic,False
rid_012685,au_000087,2024-11-01 12:54:00,direct,False
rid_001728,au_000088,2024-11-01 13:03:00,direct,False
rid_014264,au_000089,2024-11-01 13:12:00,organic,False
rid_009671,au_000090,2024-11-01 13:21:00,affiliate,False
rid_017505,au_000091,2024-11-01 13:30:00,affiliate,False
rid_002143,au_000092,2024-11-01 13:39:00,affiliate,True
rid_006060,au_000093,2024-11-01 13:48:00,affiliate,False
rid_016756,au_000094,2024-11-01 13:57:00,paid_search,False
rid_004682,au_000095,2024-11-01 14:06:00,organic,True
rid_005402,au_000096,2024-11-01 14:15:00,affiliate,False
rid_006045,au_000097,2024-11-01 14:24:00,organic,False
rid_010461,au_000098,2024-11-01 14:33:00,affiliate,False
rid_001093,au_000099,2024-11-01 14:42:00,social,False
rid_012367,au_000100,2024-11-01 14:51:00,direct,False
rid_016195,au_000101,2024-11-01 15:00:00,paid_search,False
rid_006115,au_000102,2024-11-01 15:09:00,affiliate,True
rid_003427,au_000103,2024-11-01 15:18:00,affiliate,False
rid_007027,au_000104,2024-11-01 15:27:00,paid_search,False
rid_012909,au_000105,2024-11-01 15:36:00,social,False
rid_010211,au_000106,2024-11-01 15:45:00,direct,False
rid_012075,au_000107,2024-11-01 15:54:00,affiliate,False
rid_016109,au_000108,2024-11-01 16:03:00,affiliate,False
rid_018957,au_000109,2024-11-01 16:12:00,direct,False
rid_009054,au_000110,2024-11-01 16:21:00,paid_search,False
rid_015212,au_000111,2024-11-01 16:30:00,direct,True
rid_009818,au_000112,2024-11-01 16:39:00,affiliate,False
rid_002765,au_000113,2024-11-01 16:48:00,social,False
rid_011918,au_000114,2024-11-01 16:57:00,social,False
rid_019060,au_000115,2024-11-01 17:06:00,social,False
rid_008505,au_000116,2024-11-01 17:15:00,affiliate,False
rid_010806,au_000117,2024-11-01 17:24:00,social,False
rid_014522,au_000118,2024-11-01 17:33:00,social,False
rid_016598,au_000119,2024-11-01 17:42:00,organic,False
rid_000099,au_000120,2024-11-01 17:51:00,affiliate,False
rid_001141,au_000121,2024-11-01 18:00:00,organic,False
rid_009661,au_000122,2024-11-01 18:09:00,paid_search,False
rid_002238,au_000123,2024-11-01 18:18:00,paid_search,False
rid_018461,au_000124,2024-11-01 18:27:00,direct,False
rid_014092,au_000125,2024-11-01 18:36:00,organic,False
rid_012319,au_000126,2024-11-01 18:45:00,paid_search,False
rid_011676,au_000127,2024-11-01 18:54:00,social,False
rid_009728,au_000128,2024-11-01 19:03:00,paid_search,False
rid_000995,au_000129,2024-11-01 19:12:00,social,False
rid_015441,au_000130,2024-11-01 19:21:00,paid_search,False
rid_009564,au_000131,2024-11-01 19:30:00,direct,False
rid_007861,au_000132,2024-11-01 19:39:00,social,False
rid_008733,au_000133,2024-11-01 19:48:00,paid_search,False
rid_009345,au_000134,2024-11-01 19:57:00,affiliate,False
rid_018833,au_000135,2024-11-01 20:06:00,direct,False
rid_003904,au_000136,2024-11-01 20:15:00,organic,False
rid_003542,au_000137,2024-11-01 20:24:00,paid_search,False
rid_002485,au_000138,2024-11-01 20:33:00,organic,True
rid_012416,au_000139,2024-11-01 20:42:00,affiliate,False
rid_000511,au_000140,2024-11-01 20:51:00,direct,False
rid_015838,au_000141,2024-11-01 21:00:00,paid_search,True
rid_014631,au_000142,2024-11-01 21:09:00,organic,False
rid_014180,au_000143,2024-11-01 21:18:00,paid_search,True
rid_009364,au_000144,2024-11-01 21:27:00,organic,False
rid_008207,au_000145,2024-11-01 21:36:00,paid_search,False
rid_018788,au_000146,2024-11-01 21:45:00,organic,False
rid_016613,au_000147,2024-11-01 21:54:00,organic,True
rid_003537,au_000148,2024-11-01 22:03:00,direct,False
rid_005175,au_000149,2024-11-01 22:12:00,paid_search,False
rid_004880,au_000150,2024-11-01 22:21:00,social,False
rid_009458,au_000151,2024-11-01 22:30:00,organic,False
rid_012775,au_000152,2024-11-01 22:39:00,paid_search,False
rid_004422,au_000153,2024-11-01 22:48:00,paid_search,False
rid_001092,au_000154,2024-11-01 22:57:00,organic,False
rid_007704,au_000155,2024-11-01 23:06:00,social,False
rid_010069,au_000156,2024-11-01 23:15:00,affiliate,False
rid_013447,au_000157,2024-11-01 23:24:00,paid_search,False
rid_002472,au_000158,2024-11-01 23:33:00,paid_search,False
rid_013786,au_000159,2024-11-01 23:42:00,social,False
rid_003228,au_000160,2024-11-01 23:51:00,direct,False
rid_005865,au_000161,2024-11-02 00:00:00,organic,False
rid_010242,au_000162,2024-11-02 00:09:00,social,False
rid_002102,au_000163,2024-11-02 00:18:00,organic,False
rid_011382,au_000164,2024-11-02 00:27:00,affiliate,False
rid_000773,au_000165,2024-11-02 00:36:00,organic,False
rid_004241,au_000166,2024-11-02 00:45:00,paid_search,True
rid_011317,au_000167,2024-11-02 00:54:00,social,False
rid_005425,au_000168,2024-11-02 01:03:00,direct,True
rid_008653,au_000169,2024-11-02 01:12:00,affiliate,False
rid_005683,au_000170,2024-11-02 01:21:00,social,False
rid_010007,au_000171,2024-11-02 01:30:00,direct,False
rid_002837,au_000172,2024-11-02 01:39:00,paid_search,False
rid_003113,au_000173,2024-11-02 01:48:00,paid_search,False
rid_019315,au_000174,2024-11-02 01:57:00,paid_search,True
rid_006642,au_000175,2024-11-02 02:06:00,paid_search,False
rid_013844,au_000176,2024-11-02 02:15:00,social,False
rid_000171,au_000177,2024-11-02 02:24:00,paid_search,False
rid_002217,au_000178,2024-11-02 02:33:00,social,False
rid_015753,au_000179,2024-11-02 02:42:00,paid_search,False
rid_007144,au_000180,2024-11-02 02:51:00,paid_search,False
rid_006005,au_000181,2024-11-02 03:00:00,organic,False
rid_003453,au_000182,2024-11-02 03:09:00,organic,False
rid_005329,au_000183,2024-11-02 03:18:00,affiliate,False
rid_004688,au_000184,2024-11-02 03:27:00,organic,False
rid_015948,au_000185,2024-11-02 03:36:00,direct,False
rid_018790,au_000186,2024-11-02 03:45:00,organic,False
rid_000699,au_000187,2024-11-02 03:54:00,social,False
rid_002736,au_000188,2024-11-02 04:03:00,paid_search,False
rid_012548,au_000189,2024-11-02 04:12:00,organic,False
rid_017597,au_000190,2024-11-02 04:21:00,social,False
rid_006337,au_000191,2024-11-02 04:30:00,organic,False
rid_016837,au_000192,2024-11-02 04:39:00,direct,False
rid_000091,au_000193,2024-11-02 04:48:00,paid_search,False
rid_014874,au_000194,2024-11-02 04:57:00,social,False
rid_018863,au_000195,2024-11-02 05:06:00,paid_search,False
rid_009935,au_000196,2024-11-02 05:15:00,affiliate,False
rid_011686,au_000197,2024-11-02 05:24:00,organic,False
rid_005168,au_000198,2024-11-02 05:33:00,paid_search,True
rid_015705,au_000199,2024-11-02 05:42:00,affiliate,False
rid_016620,au_000200,2024-11-02 05:51:00,paid_search,False
rid_016664,au_000201,2024-11-02 06:00:00,affiliate,False
rid_016682,au_000202,2024-11-02 06:09:00,direct,False
rid_001546,au_000203,2024-11-02 06:18:00,organic,True
rid_010507,au_000204,2024-11-02 06:27:00,affiliate,False
rid_010186,au_000205,2024-11-02 06:36:00,paid_search,False
rid_000953,au_000206,2024-11-02 06:45:00,affiliate,False
rid_016022,au_000207,2024-11-02 06:54:00,paid_search,False
rid_003860,au_000208,2024-11-02 07:03:00,organic,True
rid_008498,au_000209,2024-11-02 07:12:00,organic,False
rid_001122,au_000210,2024-11-02 07:21:00,affiliate,False
rid_015785,au_000211,2024-11-02 07:30:00,affiliate,False
rid_003597,au_000212,2024-11-02 07:39:00,direct,False
rid_010331,au_000213,2024-11-02 07:48:00,affiliate,False
rid_010169,au_000214,2024-11-02 07:57:00,paid_search,True
rid_001918,au_000215,2024-11-02 08:06:00,affiliate,False
rid_017084,au_000216,2024-11-02 08:15:00,paid_search,False
rid_000131,au_000217,2024-11-02 08:24:00,direct,False
rid_013065,au_000218,2024-11-02 08:33:00,direct,False
rid_003443,au_000219,2024-11-02 08:42:00,social,False
rid_012019,au_000220,2024-11-02 08:51:00,paid_search,False
rid_004516,au_000221,2024-11-02 09:00:00,direct,False
rid_014960,au_000222,2024-11-02 09:09:00,social,False
rid_011280,au_000223,2024-11-02 09:18:00,direct,False
rid_012799,au_000224,2024-11-02 09:27:00,paid_search,False
rid_019743,au_000225,2024-11-02 09:36:00,social,False
rid_008869,au_000226,2024-11-02 09:45:00,organic,False
rid_015179,au_000227,2024-11-02 09:54:00,paid_search,False
rid_016308,au_000228,2024-11-02 10:03:00,organic,False
rid_006491,au_000229,2024-11-02 10:12:00,direct,False
rid_006204,au_000230,2024-11-02 10:21:00,paid_search,False
rid_014120,au_000231,2024-11-02 10:30:00,organic,False
rid_018563,au_000232,2024-11-02 10:39:00,paid_search,False
rid_000300,au_000233,2024-11-02 10:48:00,affiliate,False
rid_002324,au_000234,2024-11-02 10:57:00,organic,True
rid_003379,au_000235,2024-11-02 11:06:00,organic,True
rid_012754,au_000236,2024-11-02 11:15:00,organic,False
rid_008412,au_000237,2024-11-02 11:24:00,affiliate,False
rid_010011,au_000238,2024-11-02 11:33:00,affiliate,False
rid_006342,au_000239,2024-11-02 11:42:00,direct,False
rid_008516,au_000240,2024-11-02 11:51:00,affiliate,False
rid_015494,au_000241,2024-11-02 12:00:00,direct,True
rid_008595,au_000242,2024-11-02 12:09:00,paid_search,False
rid_007857,au_000243,2024-11-02 12:18:00,paid_search,False
rid_000845,au_000244,2024-11-02 12:27:00,organic,False
rid_007567,au_000245,2024-11-02 12:36:00,paid_search,False
rid_015031,au_000246,2024-11-02 12:45:00,direct,False
rid_002744,au_000247,2024-11-02 12:54:00,direct,False
rid_007047,au_000248,2024-11-02 13:03:00,organic,True
rid_005705,au_000249,2024-11-02 13:12:00,organic,True
rid_009533,au_000250,2024-11-02 13:21:00,direct,False
rid_016428,au_000251,2024-11-02 13:30:00,organic,False
rid_016952,au_000252,2024-11-02 13:39:00,direct,False
rid_007676,au_000253,2024-11-02 13:48:00,direct,True
rid_011543,au_000254,2024-11-02 13:57:00,social,False
rid_016353,au_000255,2024-11-02 14:06:00,affiliate,False
rid_017029,au_000256,2024-11-02 14:15:00,paid_search,True
rid_012051,au_000257,2024-11-02 14:24:00,paid_search,False
rid_002742,au_000258,2024-11-02 14:33:00,paid_search,False
rid_007536,au_000259,2024-11-02 14:42:00,direct,False
rid_005637,au_000260,2024-11-02 14:51:00,paid_search,False
rid_013601,au_000261,2024-11-02 15:00:00,social,False
rid_004559,au_000262,2024-11-02 15:09:00,affiliate,False
rid_000688,au_000263,2024-11-02 15:18:00,paid_search,False
rid_017727,au_000264,2024-11-02 15:27:00,paid_search,True
rid_002211,au_000265,2024-11-02 15:36:00,affiliate,False
rid_015632,au_000266,2024-11-02 15:45:00,direct,False
rid_019099,au_000267,2024-11-02 15:54:00,paid_search,False
rid_016683,au_000268,2024-11-02 16:03:00,affiliate,False
rid_009775,au_000269,2024-11-02 16:12:00,organic,False
rid_011374,au_000270,2024-11-02 16:21:00,direct,False
rid_014359,au_000271,2024-11-02 16:30:00,direct,False
rid_004415,au_000272,2024-11-02 16:39:00,organic,False
rid_008460,au_000273,2024-11-02 16:48:00,direct,False
rid_007540,au_000274,2024-11-02 16:57:00,social,False
rid_005462,au_000275,2024-11-02 17:06:00,organic,False
rid_011007,au_000276,2024-11-02 17:15:00,paid_search,False
rid_008404,au_000277,2024-11-02 17:24:00,paid_search,False
rid_000380,au_000278,2024-11-02 17:33:00,affiliate,False
rid_001821,au_000279,2024-11-02 17:42:00,organic,False
rid_012793,au_000280,2024-11-02 17:51:00,paid_search,False
rid_011032,au_000281,2024-11-02 18:00:00,direct,False
rid_017098,au_000282,2024-11-02 18:09:00,direct,False
rid_001469,au_000283,2024-11-02 18:18:00,social,True
rid_006513,au_000284,2024-11-02 18:27:00,paid_search,False
rid_007750,au_000285,2024-11-02 18:36:00,social,True
rid_013596,au_000286,2024-11-02 18:45:00,affiliate,True
rid_008735,au_000287,2024-11-02 18:54:00,paid_search,False
rid_009672,au_000288,2024-11-02 19:03:00,social,False
rid_018410,au_000289,2024-11-02 19:12:00,social,False
rid_000080,au_000290,2024-11-02 19:21:00,affiliate,False
rid_017864,au_000291,2024-11-02 19:30:00,social,False
rid_005680,au_000292,2024-11-02 19:39:00,affiliate,False
rid_000808,au_000293,2024-11-02 19:48:00,social,False
rid_010558,au_000294,2024-11-02 19:57:00,paid_search,False
rid_004241,au_000295,2024-11-02 20:06:00,social,False
rid_014499,au_000296,2024-11-02 20:15:00,direct,False
rid_015189,au_000297,2024-11-02 20:24:00,affiliate,False
rid_008041,au_000298,2024-11-02 20:33:00,organic,True
rid_015611,au_000299,2024-11-02 20:42:00,social,False
rid_003725,au_000300,2024-11-02 20:51:00,social,False
rid_006722,au_000301,2024-11-02 21:00:00,organic,False
rid_001221,au_000302,2024-11-02 21:09:00,direct,True
rid_012835,au_000303,2024-11-02 21:18:00,social,False
rid_014294,au_000304,2024-11-02 21:27:00,direct,False
rid_015255,au_000305,2024-11-02 21:36:00,social,False
rid_007301,au_000306,2024-11-02 21:45:00,paid_search,False
rid_016758,au_000307,2024-11-02 21:54:00,affiliate,True
rid_012943,au_000308,2024-11-02 22:03:00,paid_search,False
rid_011507,au_000309,2024-11-02 22:12:00,affiliate,False
rid_004436,au_000310,2024-11-02 22:21:00,direct,False
rid_016834,au_000311,2024-11-02 22:30:00,paid_search,False
rid_015094,au_000312,2024-11-02 22:39:00,organic,False
rid_017514,au_000313,2024-11-02 22:48:00,paid_search,False
rid_006888,au_000314,2024-11-02 22:57:00,organic,False
rid_011029,au_000315,2024-11-02 23:06:00,organic,False
rid_001048,au_000316,2024-11-02 23:15:00,paid_search,False
rid_011979,au_000317,2024-11-02 23:24:00,paid_search,False
rid_010205,au_000318,2024-11-02 23:33:00,organic,False
rid_016378,au_000319,2024-11-02 23:42:00,direct,False
rid_014629,au_000320,2024-11-02 23:51:00,social,False
rid_019810,au_000321,2024-11-03 00:00:00,direct,False
rid_018650,au_000322,2024-11-03 00:09:00,paid_search,False
rid_003357,au_000323,2024-11-03 00:18:00,paid_search,False
rid_019418,au_000324,2024-11-03 00:27:00,social,False
rid_000602,au_000325,2024-11-03 00:36:00,paid_search,False
rid_009129,au_000326,2024-11-03 00:45:00,paid_search,False
rid_018655,au_000327,2024-11-03 00:54:00,social,False
rid_012238,au_000328,2024-11-03 01:03:00,organic,False
rid_019839,au_000329,2024-11-03 01:12:00,direct,False
rid_011145,au_000330,2024-11-03 01:21:00,affiliate,False
rid_013632,au_000331,2024-11-03 01:30:00,affiliate,False
rid_010671,au_000332,2024-11-03 01:39:00,affiliate,False
rid_018543,au_000333,2024-11-03 01:48:00,organic,False
rid_002291,au_000334,2024-11-03 01:57:00,paid_search,False
rid_007788,au_000335,2024-11-03 02:06:00,social,False
rid_013418,au_000336,2024-11-03 02:15:00,paid_search,True
rid_009864,au_000337,2024-11-03 02:24:00,organic,False
rid_019306,au_000338,2024-11-03 02:33:00,affiliate,False
rid_011646,au_000339,2024-11-03 02:42:00,organic,False
rid_002537,au_000340,2024-11-03 02:51:00,organic,False
rid_012270,au_000341,2024-11-03 03:00:00,affiliate,False
rid_006238,au_000342,2024-11-03 03:09:00,paid_search,False
rid_009397,au_000343,2024-11-03 03:18:00,affiliate,True
rid_001541,au_000344,2024-11-03 03:27:00,affiliate,False
rid_017385,au_000345,2024-11-03 03:36:00,direct,False
rid_008056,au_000346,2024-11-03 03:45:00,organic,False
rid_016125,au_000347,2024-11-03 03:54:00,direct,False
rid_009634,au_000348,2024-11-03 04:03:00,social,False
rid_018969,au_000349,2024-11-03 04:12:00,organic,False
rid_007161,au_000350,2024-11-03 04:21:00,affiliate,False
rid_002129,au_000351,2024-11-03 04:30:00,organic,False
rid_009532,au_000352,2024-11-03 04:39:00,social,False
rid_000686,au_000353,2024-11-03 04:48:00,organic,False
rid_016060,au_000354,2024-11-03 04:57:00,organic,True
rid_018378,au_000355,2024-11-03 05:06:00,paid_search,False
rid_004279,au_000356,2024-11-03 05:15:00,direct,False
rid_001058,au_000357,2024-11-03 05:24:00,affiliate,True
rid_015160,au_000358,2024-11-03 05:33:00,paid_search,True
rid_013779,au_000359,2024-11-03 05:42:00,social,False
rid_015866,au_000360,2024-11-03 05:51:00,organic,False
rid_011388,au_000361,2024-11-03 06:00:00,organic,False
rid_011623,au_000362,2024-11-03 06:09:00,paid_search,False
rid_005428,au_000363,2024-11-03 06:18:00,social,False
rid_006307,au_000364,2024-11-03 06:27:00,direct,False
rid_012624,au_000365,2024-11-03 06:36:00,social,False
rid_018731,au_000366,2024-11-03 06:45:00,social,False
rid_006188,au_000367,2024-11-03 06:54:00,direct,False
rid_007279,au_000368,2024-11-03 07:03:00,direct,False
rid_011781,au_000369,2024-11-03 07:12:00,paid_search,False
rid_000999,au_000370,2024-11-03 07:21:00,social,False
rid_013060,au_000371,2024-11-03 07:30:00,direct,False
rid_002722,au_000372,2024-11-03 07:39:00,direct,True
rid_013665,au_000373,2024-11-03 07:48:00,organic,False
rid_017832,au_000374,2024-11-03 07:57:00,affiliate,True
rid_018326,au_000375,2024-11-03 08:06:00,social,False
rid_003000,au_000376,2024-11-03 08:15:00,social,False
rid_011946,au_000377,2024-11-03 08:24:00,direct,False
rid_008948,au_000378,2024-11-03 08:33:00,affiliate,False
rid_009806,au_000379,2024-11-03 08:42:00,affiliate,False
rid_013840,au_000380,2024-11-03 08:51:00,social,False
rid_019818,au_000381,2024-11-03 09:00:00,paid_search,False
rid_011473,au_000382,2024-11-03 09:09:00,paid_search,True
rid_011088,au_000383,2024-11-03 09:18:00,affiliate,False
rid_013068,au_000384,2024-11-03 09:27:00,social,False
rid_010103,au_000385,2024-11-03 09:36:00,organic,False
rid_006977,au_000386,2024-11-03 09:45:00,affiliate,False
rid_016467,au_000387,2024-11-03 09:54:00,affiliate,False
rid_013245,au_000388,2024-11-03 10:03:00,paid_search,False
rid_011307,au_000389,2024-11-03 10:12:00,organic,False
rid_000182,au_000390,2024-11-03 10:21:00,affiliate,False
rid_005508,au_000391,2024-11-03 10:30:00,organic,False
rid_005266,au_000392,2024-11-03 10:39:00,affiliate,True
rid_012993,au_000393,2024-11-03 10:48:00,social,False
rid_002472,au_000394,2024-11-03 10:57:00,social,False
rid_007639,au_000395,2024-11-03 11:06:00,social,False
rid_009106,au_000396,2024-11-03 11:15:00,paid_search,False
rid_014814,au_000397,2024-11-03 11:24:00,paid_search,False
rid_002917,au_000398,2024-11-03 11:33:00,organic,False
rid_012120,au_000399,2024-11-03 11:42:00,direct,False
rid_010948,au_000400,2024-11-03 11:51:00,paid_search,False
rid_014784,au_000401,2024-11-03 12:00:00,social,False
rid_003614,au_000402,2024-11-03 12:09:00,paid_search,False
rid_011996,au_000403,2024-11-03 12:18:00,social,False
rid_008286,au_000404,2024-11-03 12:27:00,paid_search,False
rid_005185,au_000405,2024-11-03 12:36:00,direct,False
rid_001485,au_000406,2024-11-03 12:45:00,social,False
rid_007616,au_000407,2024-11-03 12:54:00,direct,False
rid_008800,au_000408,2024-11-03 13:03:00,affiliate,False
rid_001019,au_000409,2024-11-03 13:12:00,social,False
rid_016160,au_000410,2024-11-03 13:21:00,social,False
rid_013821,au_000411,2024-11-03 13:30:00,paid_search,False
rid_006339,au_000412,2024-11-03 13:39:00,direct,False
rid_000941,au_000413,2024-11-03 13:48:00,direct,False
rid_014127,au_000414,2024-11-03 13:57:00,affiliate,False
rid_000479,au_000415,2024-11-03 14:06:00,paid_search,False
rid_008520,au_000416,2024-11-03 14:15:00,direct,False
rid_004142,au_000417,2024-11-03 14:24:00,social,False
rid_004685,au_000418,2024-11-03 14:33:00,affiliate,False
rid_015104,au_000419,2024-11-03 14:42:00,organic,False
rid_006070,au_000420,2024-11-03 14:51:00,paid_search,False
rid_004913,au_000421,2024-11-03 15:00:00,social,False
rid_006052,au_000422,2024-11-03 15:09:00,paid_search,False
rid_002978,au_000423,2024-11-03 15:18:00,paid_search,False
rid_014848,au_000424,2024-11-03 15:27:00,social,False
rid_009909,au_000425,2024-11-03 15:36:00,paid_search,False
rid_004019,au_000426,2024-11-03 15:45:00,affiliate,False
rid_006161,au_000427,2024-11-03 15:54:00,affiliate,True
rid_019556,au_000428,2024-11-03 16:03:00,affiliate,False
rid_011565,au_000429,2024-11-03 16:12:00,organic,False
rid_013750,au_000430,2024-11-03 16:21:00,social,False
rid_017131,au_000431,2024-11-03 16:30:00,affiliate,False
rid_008024,au_000432,2024-11-03 16:39:00,affiliate,False
rid_006965,au_000433,2024-11-03 16:48:00,social,False
rid_019961,au_000434,2024-11-03 16:57:00,social,False
rid_011327,au_000435,2024-11-03 17:06:00,direct,False
rid_004324,au_000436,2024-11-03 17:15:00,affiliate,False
rid_017167,au_000437,2024-11-03 17:24:00,organic,False
rid_015259,au_000438,2024-11-03 17:33:00,social,True
rid_008014,au_000439,2024-11-03 17:42:00,social,False
rid_005419,au_000440,2024-11-03 17:51:00,social,True
rid_013137,au_000441,2024-11-03 18:00:00,direct,True
rid_010872,au_000442,2024-11-03 18:09:00,organic,False
rid_004734,au_000443,2024-11-03 18:18:00,organic,True
rid_001089,au_000444,2024-11-03 18:27:00,direct,False
rid_016383,au_000445,2024-11-03 18:36:00,affiliate,False
rid_016930,au_000446,2024-11-03 18:45:00,affiliate,False
rid_018131,au_000447,2024-11-03 18:54:00,social,False
rid_007324,au_000448,2024-11-03 19:03:00,social,False
rid_014083,au_000449,2024-11-03 19:12:00,paid_search,False
rid_011690,au_000450,2024-11-03 19:21:00,organic,False
rid_005326,au_000451,2024-11-03 19:30:00,social,False
rid_018546,au_000452,2024-11-03 19:39:00,organic,True
rid_006721,au_000453,2024-11-03 19:48:00,organic,False
rid_000605,au_000454,2024-11-03 19:57:00,paid_search,False
rid_003314,au_000455,2024-11-03 20:06:00,organic,False
rid_019361,au_000456,2024-11-03 20:15:00,affiliate,True
rid_001375,au_000457,2024-11-03 20:24:00,direct,False
rid_010504,au_000458,2024-11-03 20:33:00,social,False
rid_009707,au_000459,2024-11-03 20:42:00,social,False
rid_015615,au_000460,2024-11-03 20:51:00,organic,True
rid_016423,au_000461,2024-11-03 21:00:00,direct,False
rid_009461,au_000462,2024-11-03 21:09:00,paid_search,False
rid_012635,au_000463,2024-11-03 21:18:00,organic,False
rid_016319,au_000464,2024-11-03 21:27:00,affiliate,False
rid_016193,au_000465,2024-11-03 21:36:00,paid_search,False
rid_017612,au_000466,2024-11-03 21:45:00,paid_search,False
rid_014145,au_000467,2024-11-03 21:54:00,paid_search,False
rid_007634,au_000468,2024-11-03 22:03:00,social,False
rid_011181,au_000469,2024-11-03 22:12:00,paid_search,False
