real_identity_id,known_user_id,anonymous_user_id,device_id,cookie_id,email_hash,phone_hash,payment_instrument_id,support_account_id
rid_000065,ku_000065,,dev_002719,ck_031822,000000000000000000000040,000000000000000000000040,,
rid_000066,ku_000066,au_010072,,ck_022413,000000000000000000000041,000000000000000000000041,pay_004167,
rid_000067,ku_000067,au_006458,,ck_015888,000000000000000000000042,000000000000000000000042,pay_002354,
rid_000068,ku_000068,au_002505,dev_012288,ck_001569,000000000000000000000043,000000000000000000000043,,
rid_000069,ku_000069,,dev_004796,ck_010973,000000000000000000000044,000000000000000000000044,pay_008050,
rid_000070,ku_000070,au_005494,dev_029142,ck_004973,000000000000000000000045,000000000000000000000045,pay_001504,
rid_000071,ku_000071,au_006790,dev_001757,ck_001710,000000000000000000000046,000000000000000000000046,,
rid_000072,ku_000072,au_005107,dev_003364,ck_006500,000000000000000000000047,000000000000000000000047,pay_012081,
rid_000073,ku_000073,au_010738,dev_007319,ck_013685,000000000000000000000048,000000000000000000000048,pay_004097,
rid_000074,ku_000074,au_002320,dev_017631,,000000000000000000000049,000000000000000000000049,,sup_008321
rid_000075,ku_000075,au_011737,dev_022554,ck_008537,00000000000000000000004a,00000000000000000000004a,pay_001062,sup_007821
rid_000076,ku_000076,au_025795,,ck_010199,00000000000000000000004b,00000000000000000000004b,,
rid_000077,ku_000077,au_008859,dev_000588,ck_014840,00000000000000000000004c,00000000000000000000004c,pay_000557,sup_009656
rid_000078,ku_000078,au_002166,dev_001868,ck_003298,00000000000000000000004d,00000000000000000000004d,,
rid_000079,ku_000079,,dev_003477,ck_007296,00000000000000000000004e,00000000000000000000004e,pay_012924,sup_003845
rid_000080,ku_000080,au_000290,,,00000000000000000000004f,00000000000000000000004f,pay_013221,
rid_000081,ku_000081,au_026971,dev_027893,ck_002649,000000000000000000000050,000000000000000000000050,,
rid_000082,ku_000082,,dev_010988,,000000000000000000000051,000000000000000000000051,pay_006108,
rid_000083,ku_000083,au_010150,dev_010567,ck_013057,000000000000000000000052,000000000000000000000052,pay_020756,sup_005760
rid_000084,ku_000084,au_023567,dev_010642,ck_004005,000000000000000000000053,000000000000000000000053,pay_010793,
rid_000085,ku_000085,au_003670,dev_011129,ck_002783,000000000000000000000054,000000000000000000000054,,sup_000833
rid_000086,ku_000086,au_007704,dev_023188,,000000000000000000000055,000000000000000000000055,pay_007267,
rid_000087,ku_000087,au_008896,,ck_017240,000000000000000000000056,000000000000000000000056,,sup_008111
rid_000088,ku_000088,au_000992,dev_013223,ck_002019,000000000000000000000057,000000000000000000000057,pay_006427,
rid_000089,ku_000089,au_022442,dev_016032,ck_024419,000000000000000000000058,000000000000000000000058,,sup_003832
rid_000090,ku_000090,au_025391,dev_000374,ck_009961,000000000000000000000059,000000000000000000000059,pay_005949,
rid_000091,ku_000091,au_000193,,ck_026216,00000000000000000000005a,00000000000000000000005a,pay_014159,sup_006784
rid_000092,ku_000092,au_002495,dev_026103,ck_008154,00000000000000000000005b,00000000000000000000005b,,
rid_000093,ku_000093,au_020005,,,00000000000000000000005c,00000000000000000000005c,,sup_008684
rid_000094,ku_000094,,dev_000832,ck_010057,00000000000000000000005d,00000000000000000000005d,,sup_004030
rid_000095,ku_000095,,,ck_005872,00000000000000000000005e,00000000000000000000005e,pay_002953,sup_007217
rid_000096,ku_000096,au_008581,,ck_024868,00000000000000000000005f,00000000000000000000005f,pay_008253,sup_003218
rid_000097,ku_000097,,,ck_032407,000000000000000000000060,000000000000000000000060,pay_016917,sup_007117
rid_000098,ku_000098,au_021942,dev_017948,ck_006135,000000000000000000000061,000000000000000000000061,,sup_005127
rid_000099,ku_000099,au_000120,dev_004015,ck_013907,000000000000000000000062,000000000000000000000062,pay_012219,sup_000469
rid_000100,ku_000100,,dev_006936,ck_019118,000000000000000000000063,000000000000000000000063,pay_013986,sup_003250
rid_000101,ku_000101,au_007272,dev_004808,ck_011986,000000000000000000000064,000000000000000000000064,,sup_001919
rid_000102,ku_000102,au_003965,,,000000000000000000000065,000000000000000000000065,pay_008301,sup_001446
rid_000103,ku_000103,au_010680,dev_008504,ck_002410,000000000000000000000066,000000000000000000000066,pay_000616,sup_008355
rid_000104,ku_000104,au_023792,dev_019683,,000000000000000000000067,000000000000000000000067,pay_013394,sup_006273
rid_000105,ku_000105,au_018058,dev_002644,ck_017774,000000000000000000000068,000000000000000000000068,pay_019377,sup_001984
rid_000106,ku_000106,au_019999,dev_011583,ck_008233,000000000000000000000069,000000000000000000000069,pay_015609,sup_004971
rid_000107,ku_000107,,dev_005168,,00000000000000000000006a,00000000000000000000006a,pay_014407,sup_001859
rid_000108,ku_000108,au_019075,dev_027513,,00000000000000000000006b,00000000000000000000006b,pay_012095,
rid_000109,ku_000109,au_008684,dev_025757,ck_014647,00000000000000000000006c,00000000000000000000006c,pay_001804,sup_009840
rid_000110,ku_000110,au_025553,dev_020299,ck_006234,00000000000000000000006d,00000000000000000000006d,,
rid_000111,ku_000111,au_015412,,ck_001643,00000000000000000000006e,00000000000000000000006e,pay_002567,sup_006374
rid_000112,ku_000112,au_002381,dev_008885,ck_007118,00000000000000000000006f,00000000000000000000006f,,sup_002647
rid_000113,ku_000113,,dev_008821,ck_019834,000000000000000000000070,000000000000000000000070,pay_015895,
rid_000114,ku_000114,au_019547,dev_008356,,000000000000000000000071,000000000000000000000071,,
rid_000115,ku_000115,au_027277,dev_025867,ck_028250,000000000000000000000072,000000000000000000000072,pay_003596,
rid_000116,ku_000116,au_002209,dev_014597,ck_005618,000000000000000000000073,000000000000000000000073,pay_000569,sup_004040
rid_000117,ku_000117,au_020140,dev_001048,ck_011531,000000000000000000000074,000000000000000000000074,pay_006194,sup_008953
rid_000118,ku_000118,au_010459,dev_013789,ck_015048,000000000000000000000075,000000000000000000000075,,
rid_000119,ku_000119,au_003941,dev_027271,ck_009468,000000000000000000000076,000000000000000000000076,,sup_008253
rid_000120,ku_000120,,,ck_009989,000000000000000000000077,000000000000000000000077,pay_019231,sup_001893
rid_000121,ku_000121,au_008819,dev_001586,ck_013280,000000000000000000000078,000000000000000000000078,,sup_004037
rid_000122,ku_000122,au_010491,dev_005102,ck_030277,000000000000000000000079,000000000000000000000079,pay_005136,sup_001875
rid_000123,ku_000123,au_019523,dev_004500,,00000000000000000000007a,00000000000000000000007a,pay_009459,
rid_000124,ku_000124,au_010182,dev_003407,ck_025061,00000000000000000000007b,00000000000000000000007b,pay_011845,sup_000810
rid_000125,ku_000125,,dev_020174,ck_007182,00000000000000000000007c,00000000000000000000007c,,sup_003445
rid_000126,ku_000126,,dev_019383,ck_009044,00000000000000000000007d,00000000000000000000007d,,sup_004267
rid_000127,ku_000127,au_021161,dev_004660,,00000000000000000000007e,00000000000000000000007e,pay_018740,sup_002654
rid_000128,ku_000128,au_021730,dev_011576,ck_019597,00000000000000000000007f,00000000000000000000007f,,
rid_000129,ku_000129,,,ck_036088,000000000000000000000080,000000000000000000000080,pay_001923,
rid_000130,ku_000130,au_002698,dev_014231,ck_003768,000000000000000000000081,000000000000000000000081,pay_010672,
rid_000131,ku_000131,au_000217,dev_001514,ck_004945,000000000000000000000082,000000000000000000000082,,
rid_000132,ku_000132,au_026099,,,000000000000000000000083,000000000000000000000083,,
rid_000133,ku_000133,au_023078,dev_000052,ck_012324,000000000000000000000084,000000000000000000000084,pay_004996,
rid_000134,ku_000134,au_003127,,ck_010246,000000000000000000000085,000000000000000000000085,pay_001957,sup_000570
rid_000135,ku_000135,au_015185,dev_010840,ck_005200,000000000000000000000086,000000000000000000000086,pay_004638,sup_002463
rid_000136,ku_000136,au_012179,dev_004441,ck_034023,000000000000000000000087,000000000000000000000087,,sup_009664
rid_000137,ku_000137,au_027612,dev_010027,ck_003151,000000000000000000000088,000000000000000000000088,,
rid_000138,ku_000138,au_017218,dev_000414,ck_025369,000000000000000000000089,000000000000000000000089,pay_006707,
rid_000139,ku_000139,,dev_010850,ck_013575,00000000000000000000008a,00000000000000000000008a,,
rid_000140,ku_000140,au_013025,dev_023415,ck_029594,00000000000000000000008b,00000000000000000000008b,pay_008295,sup_003814
rid_000141,ku_000141,au_025714,,,00000000000000000000008c,00000000000000000000008c,pay_002301,
rid_000142,ku_000142,au_004197,dev_000899,ck_031429,00000000000000000000008d,00000000000000000000008d,pay_009152,
rid_000143,ku_000143,au_022144,dev_015157,ck_009337,00000000000000000000008e,00000000000000000000008e,pay_007815,sup_000015
rid_000144,ku_000144,au_019649,dev_012038,ck_025678,00000000000000000000008f,00000000000000000000008f,pay_013632,sup_003576
rid_000145,ku_000145,au_028486,,ck_005294,000000000000000000000090,000000000000000000000090,,
rid_000146,ku_000146,,dev_002248,ck_017270,000000000000000000000091,000000000000000000000091,pay_012419,
rid_000147,ku_000147,au_007503,dev_012312,ck_005179,000000000000000000000092,000000000000000000000092,pay_016636,sup_000429
rid_000148,ku_000148,au_014104,dev_001956,ck_009613,000000000000000000000093,000000000000000000000093,,
rid_000149,ku_000149,au_004343,,ck_007026,000000000000000000000094,000000000000000000000094,,
rid_000150,ku_000150,au_023772,dev_004892,ck_001053,000000000000000000000095,000000000000000000000095,,sup_003416
rid_000151,ku_000151,au_004238,dev_005711,ck_009168,000000000000000000000096,000000000000000000000096,pay_006983,
rid_000152,ku_000152,au_026833,dev_030981,ck_002745,000000000000000000000097,000000000000000000000097,pay_000208,sup_000332
rid_000153,ku_000153,,dev_002803,ck_024072,000000000000000000000098,000000000000000000000098,pay_010898,
rid_000154,ku_000154,au_014142,dev_008025,,000000000000000000000099,000000000000000000000099,pay_000999,sup_003084
rid_000155,ku_000155,,dev_014682,ck_018406,00000000000000000000009a,00000000000000000000009a,,sup_001636
rid_000156,ku_000156,au_011011,,ck_025474,00000000000000000000009b,00000000000000000000009b,,sup_002788
rid_000157,ku_000157,au_011112,dev_011545,ck_018058,00000000000000000000009c,00000000000000000000009c,pay_002821,sup_003450
rid_000158,ku_000158,au_015986,dev_015459,ck_014453,00000000000000000000009d,00000000000000000000009d,,
rid_000159,ku_000159,au_017885,,ck_026353,00000000000000000000009e,00000000000000000000009e,,sup_003500
rid_000160,ku_000160,au_003029,dev_014494,ck_012999,00000000000000000000009f,00000000000000000000009f,pay_004443,sup_001221
rid_000161,ku_000161,au_001247,,ck_016839,0000000000000000000000a0,0000000000000000000000a0,pay_013820,sup_001099
rid_000162,ku_000162,au_013603,dev_018079,ck_033465,0000000000000000000000a1,0000000000000000000000a1,,
rid_000163,ku_000163,au_012540,dev_015506,,0000000000000000000000a2,0000000000000000000000a2,,sup_006082
rid_000164,ku_000164,au_004012,dev_012456,ck_006339,0000000000000000000000a3,0000000000000000000000a3,,sup_005286
rid_000165,ku_000165,au_013184,dev_023092,ck_003195,0000000000000000000000a4,0000000000000000000000a4,pay_001768,sup_003904
rid_000166,ku_000166,au_003937,,,0000000000000000000000a5,0000000000000000000000a5,pay_002778,
rid_000167,ku_000167,au_011199,dev_012749,ck_012647,0000000000000000000000a6,0000000000000000000000a6,pay_010395,
rid_000168,ku_000168,au_005711,dev_011048,ck_000027,0000000000000000000000a7,0000000000000000000000a7,pay_012356,sup_000312
rid_000169,ku_000169,au_018380,,,0000000000000000000000a8,0000000000000000000000a8,,sup_004586
rid_000170,ku_000170,au_021821,dev_002174,ck_003658,0000000000000000000000a9,0000000000000000000000a9,pay_005827,
rid_000171,ku_000171,au_000177,dev_005714,ck_017264,0000000000000000000000aa,0000000000000000000000aa,pay_012483,
rid_000172,ku_000172,au_013170,dev_010544,ck_031189,0000000000000000000000ab,0000000000000000000000ab,pay_000887,sup_006302
rid_000173,ku_000173,,dev_013246,ck_014038,0000000000000000000000ac,0000000000000000000000ac,pay_014454,
rid_000174,ku_000174,,,ck_030297,0000000000000000000000ad,0000000000000000000000ad,,sup_002987
rid_000175,ku_000175,au_018318,dev_008000,ck_013623,0000000000000000000000ae,0000000000000000000000ae,,sup_006322
rid_000176,ku_000176,,dev_004672,ck_006118,0000000000000000000000af,0000000000000000000000af,pay_007738,
rid_000177,ku_000177,au_003360,dev_030033,ck_010443,0000000000000000000000b0,0000000000000000000000b0,,sup_005409
rid_000178,ku_000178,au_028971,,ck_001803,0000000000000000000000b1,0000000000000000000000b1,,sup_008308
rid_000179,ku_000179,,dev_008156,,0000000000000000000000b2,0000000000000000000000b2,,sup_006543
rid_000180,ku_000180,,dev_010063,ck_029245,0000000000000000000000b3,0000000000000000000000b3,,
rid_000181,ku_000181,au_005359,,ck_020375,0000000000000000000000b4,0000000000000000000000b4,,sup_002996
rid_000182,ku_000182,au_000390,dev_002049,ck_020889,0000000000000000000000b5,0000000000000000000000b5,pay_007178,sup_005569
rid_000183,ku_000183,,dev_015061,,0000000000000000000000b6,0000000000000000000000b6,pay_007470,sup_000722
rid_000184,ku_000184,au_017211,dev_002998,ck_016232,0000000000000000000000b7,0000000000000000000000b7,pay_012607,
rid_000185,ku_000185,au_004055,dev_024550,,0000000000000000000000b8,0000000000000000000000b8,,sup_008792
rid_000186,ku_000186,au_021111,dev_011317,,0000000000000000000000b9,0000000000000000000000b9,pay_014674,
rid_000187,ku_000187,au_000008,dev_001226,ck_009354,0000000000000000000000ba,0000000000000000000000ba,,
rid_000188,ku_000188,,dev_005008,ck_012423,0000000000000000000000bb,0000000000000000000000bb,,sup_006768
rid_000189,ku_000189,au_003200,,ck_009246,0000000000000000000000bc,0000000000000000000000bc,,
rid_000190,ku_000190,,dev_001630,ck_008747,0000000000000000000000bd,0000000000000000000000bd,pay_018950,sup_000728
rid_000191,ku_000191,au_022263,dev_008149,ck_029325,0000000000000000000000be,0000000000000000000000be,pay_004927,sup_000270
rid_000192,ku_000192,au_000003,,,0000000000000000000000bf,0000000000000000000000bf,pay_015046,
rid_000193,ku_000193,au_012160,dev_010491,ck_012253,0000000000000000000000c0,0000000000000000000000c0,pay_011813,
rid_000194,ku_000194,au_028065,,ck_037089,0000000000000000000000c1,0000000000000000000000c1,pay_000222,
rid_000195,ku_000195,au_005372,,ck_003390,0000000000000000000000c2,0000000000000000000000c2,pay_019290,
rid_000196,ku_000196,au_011114,dev_004541,,0000000000000000000000c3,0000000000000000000000c3,pay_003981,
rid_000197,ku_000197,au_004035,,ck_005643,0000000000000000000000c4,0000000000000000000000c4,,sup_000645
rid_000198,ku_000198,au_020455,dev_001327,ck_022839,0000000000000000000000c5,0000000000000000000000c5,pay_008073,
rid_000199,ku_000199,,dev_005033,ck_014189,0000000000000000000000c6,0000000000000000000000c6,pay_007457,sup_009652
rid_000200,ku_000200,au_000917,dev_005489,ck_010291,0000000000000000000000c7,0000000000000000000000c7,,
rid_000201,ku_000201,,dev_013017,ck_006938,0000000000000000000000c8,0000000000000000000000c8,pay_001737,
rid_000202,ku_000202,au_011005,dev_012689,ck_001853,0000000000000000000000c9,0000000000000000000000c9,,
rid_000203,ku_000203,au_008002,,ck_012950,0000000000000000000000ca,0000000000000000000000ca,pay_005535,sup_009482
rid_000204,ku_000204,,dev_001034,ck_001044,0000000000000000000000cb,0000000000000000000000cb,,
rid_000205,ku_000205,au_020968,dev_020804,ck_026739,0000000000000000000000cc,0000000000000000000000cc,,
rid_000206,ku_000206,au_020840,dev_007187,ck_002444,0000000000000000000000cd,0000000000000000000000cd,,sup_008504
rid_000207,ku_000207,au_010442,,ck_000075,0000000000000000000000ce,0000000000000000000000ce,pay_004665,sup_008366
rid_000208,ku_000208,au_003705,dev_031201,ck_022291,0000000000000000000000cf,0000000000000000000000cf,pay_017873,sup_008433
rid_000209,ku_000209,,,ck_005525,0000000000000000000000d0,0000000000000000000000d0,pay_017557,sup_004489
rid_000210,ku_000210,,,ck_021921,0000000000000000000000d1,0000000000000000000000d1,pay_001248,sup_005668
rid_000211,ku_000211,au_001554,dev_020682,,0000000000000000000000d2,0000000000000000000000d2,,sup_009928
rid_000212,ku_000212,au_019199,,,0000000000000000000000d3,0000000000000000000000d3,pay_006499,
rid_000213,ku_000213,au_001792,dev_007634,ck_015143,0000000000000000000000d4,0000000000000000000000d4,pay_016363,sup_005935
rid_000214,ku_000214,au_015927,dev_000034,ck_024174,0000000000000000000000d5,0000000000000000000000d5,pay_011841,sup_000341
rid_000215,ku_000215,au_028280,dev_002966,ck_019236,0000000000000000000000d6,0000000000000000000000d6,,sup_009388
rid_000216,ku_000216,au_011524,dev_005451,ck_001019,0000000000000000000000d7,0000000000000000000000d7,,sup_007147
rid_000217,ku_000217,au_018929,dev_019710,ck_007333,0000000000000000000000d8,0000000000000000000000d8,pay_020157,sup_005531
rid_000218,ku_000218,,,ck_012780,0000000000000000000000d9,0000000000000000000000d9,pay_009430,sup_002534
rid_000219,ku_000219,au_005890,dev_008359,ck_023089,0000000000000000000000da,0000000000000000000000da,pay_000638,sup_002335
rid_000220,ku_000220,au_020858,dev_014835,ck_013973,0000000000000000000000db,0000000000000000000000db,pay_003138,sup_000430
rid_000221,ku_000221,au_005689,dev_017416,ck_032162,0000000000000000000000dc,0000000000000000000000dc,pay_001335,
rid_000222,ku_000222,,,ck_015520,0000000000000000000000dd,0000000000000000000000dd,,
rid_000223,ku_000223,au_003335,dev_017121,ck_010102,0000000000000000000000de,0000000000000000000000de,,sup_006710
rid_000224,ku_000224,au_005193,dev_004810,ck_008036,0000000000000000000000df,0000000000000000000000df,pay_018645,sup_001190
rid_000225,ku_000225,au_003663,dev_006405,,0000000000000000000000e0,0000000000000000000000e0,,sup_002239
rid_000226,ku_000226,,dev_006023,ck_018028,0000000000000000000000e1,0000000000000000000000e1,pay_009942,
rid_000227,ku_000227,au_002279,dev_022655,ck_003551,0000000000000000000000e2,0000000000000000000000e2,pay_000813,sup_005316
rid_000228,ku_000228,au_013876,,ck_004060,0000000000000000000000e3,0000000000000000000000e3,pay_021979,
rid_000229,ku_000229,au_009872,dev_006709,ck_024730,0000000000000000000000e4,0000000000000000000000e4,pay_007313,sup_004199
rid_000230,ku_000230,au_025517,dev_007043,,0000000000000000000000e5,0000000000000000000000e5,pay_014884,
rid_000231,ku_000231,au_013304,dev_006371,ck_011761,0000000000000000000000e6,0000000000000000000000e6,pay_009219,sup_008432
rid_000232,ku_000232,au_000983,dev_022225,ck_007261,0000000000000000000000e7,0000000000000000000000e7,pay_002713,
rid_000233,ku_000233,au_028974,dev_011181,ck_025060,0000000000000000000000e8,0000000000000000000000e8,pay_012318,sup_001112
rid_000234,ku_000234,au_026435,dev_011157,ck_003845,0000000000000000000000e9,0000000000000000000000e9,,sup_006582
rid_000235,ku_000235,au_017827,dev_016730,ck_006321,0000000000000000000000ea,0000000000000000000000ea,pay_013757,sup_007241
rid_000236,ku_000236,au_021140,dev_008944,ck_011099,0000000000000000000000eb,0000000000000000000000eb,,
rid_000237,ku_000237,au_006060,dev_011294,ck_036469,0000000000000000000000ec,0000000000000000000000ec,pay_002306,
rid_000238,ku_000238,,dev_001916,ck_028460,0000000000000000000000ed,0000000000000000000000ed,,sup_002489
rid_000239,ku_000239,au_021421,,ck_028115,0000000000000000000000ee,0000000000000000000000ee,,sup_006832
rid_000240,ku_000240,au_009127,dev_003573,ck_003941,0000000000000000000000ef,0000000000000000000000ef,pay_010754,
rid_000241,ku_000241,au_015673,dev_003831,ck_020621,0000000000000000000000f0,0000000000000000000000f0,pay_010805,sup_001691
rid_000242,ku_000242,au_001674,dev_022006,ck_006200,0000000000000000000000f1,0000000000000000000000f1,pay_018064,sup_007385
rid_000243,ku_000243,,,ck_022125,0000000000000000000000f2,0000000000000000000000f2,pay_020113,
rid_000244,ku_000244,au_000802,dev_016842,,0000000000000000000000f3,0000000000000000000000f3,pay_018218,
rid_000245,ku_000245,au_020149,dev_030288,ck_016988,0000000000000000000000f4,0000000000000000000000f4,,sup_004909
rid_000246,ku_000246,au_029639,dev_003924,,0000000000000000000000f5,0000000000000000000000f5,pay_004350,
rid_000247,ku_000247,,,ck_001684,0000000000000000000000f6,0000000000000000000000f6,pay_002018,
rid_000248,ku_000248,,dev_000226,ck_011967,0000000000000000000000f7,0000000000000000000000f7,,
rid_000249,ku_000249,au_013705,dev_013286,ck_001330,0000000000000000000000f8,0000000000000000000000f8,pay_014446,
rid_000250,ku_000250,au_004908,dev_023584,,0000000000000000000000f9,0000000000000000000000f9,,sup_001365
rid_000251,ku_000251,,,ck_009863,0000000000000000000000fa,0000000000000000000000fa,pay_020231,
rid_000252,ku_000252,au_001766,dev_027985,ck_015547,0000000000000000000000fb,0000000000000000000000fb,pay_000374,
rid_000253,ku_000253,au_001552,,ck_023685,0000000000000000000000fc,0000000000000000000000fc,pay_010043,sup_009515
rid_000254,ku_000254,au_018428,dev_013450,ck_016031,0000000000000000000000fd,0000000000000000000000fd,,sup_006564
rid_000255,ku_000255,,dev_002544,ck_010023,0000000000000000000000fe,0000000000000000000000fe,pay_010756,
rid_000256,ku_000256,au_014586,dev_008954,,0000000000000000000000ff,0000000000000000000000ff,,
