real_identity_id,known_user_id,account_created_at,home_region,primary_channel,trust_status
rid_000072,ku_000072,2025-01-01 17:45:00,NA,direct,review
rid_000073,ku_000073,2025-01-01 18:00:00,EU,social,normal
rid_000074,ku_000074,2025-01-01 18:15:00,NA,direct,normal
rid_000075,ku_000075,2025-01-01 18:30:00,APAC,direct,normal
rid_000076,ku_000076,2025-01-01 18:45:00,EU,affiliate,review
rid_000077,ku_000077,2025-01-01 19:00:00,EU,affiliate,normal
rid_000078,ku_000078,2025-01-01 19:15:00,NA,organic,normal
rid_000079,ku_000079,2025-01-01 19:30:00,APAC,social,normal
rid_000080,ku_000080,2025-01-01 19:45:00,APAC,organic,normal
rid_000081,ku_000081,2025-01-01 20:00:00,LATAM,direct,normal
rid_000082,ku_000082,2025-01-01 20:15:00,EU,paid_search,normal
rid_000083,ku_000083,2025-01-01 20:30:00,NA,social,normal
rid_000084,ku_000084,2025-01-01 20:45:00,LATAM,organic,normal
rid_000085,ku_000085,2025-01-01 21:00:00,APAC,social,review
rid_000086,ku_000086,2025-01-01 21:15:00,APAC,affiliate,normal
rid_000087,ku_000087,2025-01-01 21:30:00,NA,social,watch
rid_000088,ku_000088,2025-01-01 21:45:00,EU,affiliate,normal
rid_000089,ku_000089,2025-01-01 22:00:00,LATAM,paid_search,normal
rid_000090,ku_000090,2025-01-01 22:15:00,LATAM,social,normal
rid_000091,ku_000091,2025-01-01 22:30:00,EU,affiliate,normal
rid_000092,ku_000092,2025-01-01 22:45:00,LATAM,organic,normal
rid_000093,ku_000093,2025-01-01 23:00:00,LATAM,affiliate,normal
rid_000094,ku_000094,2025-01-01 23:15:00,EU,affiliate,normal
rid_000095,ku_000095,2025-01-01 23:30:00,LATAM,social,normal
rid_000096,ku_000096,2025-01-01 23:45:00,EU,organic,normal
rid_000097,ku_000097,2025-01-02 00:00:00,NA,direct,normal
rid_000098,ku_000098,2025-01-02 00:15:00,APAC,direct,normal
rid_000099,ku_000099,2025-01-02 00:30:00,APAC,paid_search,normal
rid_000100,ku_000100,2025-01-02 00:45:00,NA,affiliate,normal
rid_000101,ku_000101,2025-01-02 01:00:00,LATAM,organic,normal
rid_000102,ku_000102,2025-01-02 01:15:00,NA,paid_search,watch
rid_000103,ku_000103,2025-01-02 01:30:00,LATAM,affiliate,normal
rid_000104,ku_000104,2025-01-02 01:45:00,NA,paid_search,watch
rid_000105,ku_000105,2025-01-02 02:00:00,LATAM,social,normal
rid_000106,ku_000106,2025-01-02 02:15:00,LATAM,affiliate,normal
rid_000107,ku_000107,2025-01-02 02:30:00,LATAM,direct,normal
rid_000108,ku_000108,2025-01-02 02:45:00,APAC,organic,normal
rid_000109,ku_000109,2025-01-02 03:00:00,EU,direct,normal
rid_000110,ku_000110,2025-01-02 03:15:00,APAC,direct,normal
rid_000111,ku_000111,2025-01-02 03:30:00,EU,organic,watch
rid_000112,ku_000112,2025-01-02 03:45:00,LATAM,paid_search,normal
rid_000113,ku_000113,2025-01-02 04:00:00,APAC,affiliate,normal
rid_000114,ku_000114,2025-01-02 04:15:00,EU,paid_search,normal
rid_000115,ku_000115,2025-01-02 04:30:00,APAC,direct,normal
rid_000116,ku_000116,2025-01-02 04:45:00,APAC,social,normal
rid_000117,ku_000117,2025-01-02 05:00:00,NA,affiliate,normal
rid_000118,ku_000118,2025-01-02 05:15:00,NA,affiliate,normal
rid_000119,ku_000119,2025-01-02 05:30:00,NA,organic,normal
rid_000120,ku_000120,2025-01-02 05:45:00,NA,direct,normal
rid_000121,ku_000121,2025-01-02 06:00:00,EU,affiliate,normal
rid_000122,ku_000122,2025-01-02 06:15:00,APAC,direct,normal
rid_000123,ku_000123,2025-01-02 06:30:00,APAC,paid_search,watch
rid_000124,ku_000124,2025-01-02 06:45:00,EU,organic,normal
rid_000125,ku_000125,2025-01-02 07:00:00,LATAM,direct,normal
rid_000126,ku_000126,2025-01-02 07:15:00,APAC,direct,watch
rid_000127,ku_000127,2025-01-02 07:30:00,NA,organic,normal
rid_000128,ku_000128,2025-01-02 07:45:00,LATAM,paid_search,normal
rid_000129,ku_000129,2025-01-02 08:00:00,APAC,social,normal
rid_000130,ku_000130,2025-01-02 08:15:00,APAC,organic,normal
rid_000131,ku_000131,2025-01-02 08:30:00,APAC,affiliate,normal
rid_000132,ku_000132,2025-01-02 08:45:00,APAC,direct,normal
rid_000133,ku_000133,2025-01-02 09:00:00,NA,paid_search,normal
rid_000134,ku_000134,2025-01-02 09:15:00,APAC,social,normal
rid_000135,ku_000135,2025-01-02 09:30:00,LATAM,social,normal
rid_000136,ku_000136,2025-01-02 09:45:00,EU,direct,normal
rid_000137,ku_000137,2025-01-02 10:00:00,APAC,paid_search,normal
rid_000138,ku_000138,2025-01-02 10:15:00,NA,social,normal
rid_000139,ku_000139,2025-01-02 10:30:00,EU,social,normal
rid_000140,ku_000140,2025-01-02 10:45:00,EU,paid_search,normal
rid_000141,ku_000141,2025-01-02 11:00:00,LATAM,affiliate,normal
rid_000142,ku_000142,2025-01-02 11:15:00,NA,organic,normal
rid_000143,ku_000143,2025-01-02 11:30:00,EU,organic,normal
rid_000144,ku_000144,2025-01-02 11:45:00,EU,direct,normal
rid_000145,ku_000145,2025-01-02 12:00:00,LATAM,organic,normal
rid_000146,ku_000146,2025-01-02 12:15:00,LATAM,social,normal
rid_000147,ku_000147,2025-01-02 12:30:00,NA,social,normal
rid_000148,ku_000148,2025-01-02 12:45:00,NA,direct,normal
rid_000149,ku_000149,2025-01-02 13:00:00,LATAM,organic,normal
rid_000150,ku_000150,2025-01-02 13:15:00,NA,paid_search,watch
rid_000151,ku_000151,2025-01-02 13:30:00,LATAM,affiliate,normal
rid_000152,ku_000152,2025-01-02 13:45:00,EU,affiliate,normal
rid_000153,ku_000153,2025-01-02 14:00:00,LATAM,social,normal
rid_000154,ku_000154,2025-01-02 14:15:00,EU,organic,normal
rid_000155,ku_000155,2025-01-02 14:30:00,EU,organic,normal
rid_000156,ku_000156,2025-01-02 14:45:00,APAC,paid_search,normal
rid_000157,ku_000157,2025-01-02 15:00:00,NA,paid_search,normal
rid_000158,ku_000158,2025-01-02 15:15:00,APAC,affiliate,normal
rid_000159,ku_000159,2025-01-02 15:30:00,APAC,affiliate,normal
rid_000160,ku_000160,2025-01-02 15:45:00,LATAM,affiliate,normal
rid_000161,ku_000161,2025-01-02 16:00:00,LATAM,social,normal
rid_000162,ku_000162,2025-01-02 16:15:00,APAC,organic,normal
rid_000163,ku_000163,2025-01-02 16:30:00,EU,direct,normal
rid_000164,ku_000164,2025-01-02 16:45:00,EU,social,normal
rid_000165,ku_000165,2025-01-02 17:00:00,EU,affiliate,normal
rid_000166,ku_000166,2025-01-02 17:15:00,LATAM,paid_search,normal
rid_000167,ku_000167,2025-01-02 17:30:00,EU,paid_search,normal
rid_000168,ku_000168,2025-01-02 17:45:00,NA,direct,normal
rid_000169,ku_000169,2025-01-02 18:00:00,EU,paid_search,normal
rid_000170,ku_000170,2025-01-02 18:15:00,NA,affiliate,normal
rid_000171,ku_000171,2025-01-02 18:30:00,NA,organic,normal
rid_000172,ku_000172,2025-01-02 18:45:00,NA,direct,watch
rid_000173,ku_000173,2025-01-02 19:00:00,LATAM,organic,normal
rid_000174,ku_000174,2025-01-02 19:15:00,APAC,affiliate,normal
rid_000175,ku_000175,2025-01-02 19:30:00,APAC,direct,normal
rid_000176,ku_000176,2025-01-02 19:45:00,EU,direct,watch
rid_000177,ku_000177,2025-01-02 20:00:00,APAC,affiliate,normal
rid_000178,ku_000178,2025-01-02 20:15:00,NA,paid_search,normal
rid_000179,ku_000179,2025-01-02 20:30:00,LATAM,paid_search,normal
rid_000180,ku_000180,2025-01-02 20:45:00,APAC,organic,normal
rid_000181,ku_000181,2025-01-02 21:00:00,LATAM,affiliate,normal
rid_000182,ku_000182,2025-01-02 21:15:00,NA,affiliate,normal
rid_000183,ku_000183,2025-01-02 21:30:00,EU,affiliate,normal
rid_000184,ku_000184,2025-01-02 21:45:00,APAC,paid_search,watch
rid_000185,ku_000185,2025-01-02 22:00:00,EU,paid_search,normal
rid_000186,ku_000186,2025-01-02 22:15:00,EU,paid_search,normal
rid_000187,ku_000187,2025-01-02 22:30:00,NA,organic,normal
rid_000188,ku_000188,2025-01-02 22:45:00,EU,affiliate,normal
rid_000189,ku_000189,2025-01-02 23:00:00,NA,paid_search,normal
rid_000190,ku_000190,2025-01-02 23:15:00,EU,direct,normal
rid_000191,ku_000191,2025-01-02 23:30:00,APAC,social,normal
rid_000192,ku_000192,2025-01-02 23:45:00,APAC,affiliate,normal
rid_000193,ku_000193,2025-01-03 00:00:00,APAC,affiliate,normal
rid_000194,ku_000194,2025-01-03 00:15:00,EU,paid_search,normal
rid_000195,ku_000195,2025-01-03 00:30:00,LATAM,direct,normal
rid_000196,ku_000196,2025-01-03 00:45:00,NA,direct,normal
rid_000197,ku_000197,2025-01-03 01:00:00,EU,direct,normal
rid_000198,ku_000198,2025-01-03 01:15:00,NA,paid_search,normal
rid_000199,ku_000199,2025-01-03 01:30:00,EU,social,normal
rid_000200,ku_000200,2025-01-03 01:45:00,LATAM,social,normal
rid_000201,ku_000201,2025-01-03 02:00:00,EU,organic,normal
rid_000202,ku_000202,2025-01-03 02:15:00,LATAM,direct,normal
rid_000203,ku_000203,2025-01-03 02:30:00,EU,affiliate,watch
rid_000204,ku_000204,2025-01-03 02:45:00,APAC,affiliate,normal
rid_000205,ku_000205,2025-01-03 03:00:00,EU,organic,normal
rid_000206,ku_000206,2025-01-03 03:15:00,EU,direct,normal
rid_000207,ku_000207,2025-01-03 03:30:00,LATAM,direct,watch
rid_000208,ku_000208,2025-01-03 03:45:00,LATAM,direct,normal
rid_000209,ku_000209,2025-01-03 04:00:00,EU,direct,normal
rid_000210,ku_000210,2025-01-03 04:15:00,LATAM,affiliate,normal
rid_000211,ku_000211,2025-01-03 04:30:00,EU,paid_search,watch
rid_000212,ku_000212,2025-01-03 04:45:00,APAC,social,normal
rid_000213,ku_000213,2025-01-03 05:00:00,LATAM,affiliate,normal
rid_000214,ku_000214,2025-01-03 05:15:00,EU,social,watch
rid_000215,ku_000215,2025-01-03 05:30:00,APAC,paid_search,normal
rid_000216,ku_000216,2025-01-03 05:45:00,EU,direct,normal
rid_000217,ku_000217,2025-01-03 06:00:00,NA,organic,review
rid_000218,ku_000218,2025-01-03 06:15:00,NA,direct,normal
rid_000219,ku_000219,2025-01-03 06:30:00,EU,social,normal
rid_000220,ku_000220,2025-01-03 06:45:00,LATAM,social,watch
rid_000221,ku_000221,2025-01-03 07:00:00,NA,social,normal
rid_000222,ku_000222,2025-01-03 07:15:00,EU,social,normal
rid_000223,ku_000223,2025-01-03 07:30:00,APAC,organic,normal
rid_000224,ku_000224,2025-01-03 07:45:00,NA,social,normal
rid_000225,ku_000225,2025-01-03 08:00:00,APAC,direct,normal
rid_000226,ku_000226,2025-01-03 08:15:00,EU,social,normal
rid_000227,ku_000227,2025-01-03 08:30:00,LATAM,organic,normal
rid_000228,ku_000228,2025-01-03 08:45:00,APAC,direct,normal
rid_000229,ku_000229,2025-01-03 09:00:00,APAC,organic,normal
rid_000230,ku_000230,2025-01-03 09:15:00,NA,paid_search,normal
rid_000231,ku_000231,2025-01-03 09:30:00,EU,paid_search,normal
rid_000232,ku_000232,2025-01-03 09:45:00,LATAM,organic,normal
rid_000233,ku_000233,2025-01-03 10:00:00,NA,affiliate,normal
rid_000234,ku_000234,2025-01-03 10:15:00,LATAM,direct,normal
rid_000235,ku_000235,2025-01-03 10:30:00,EU,paid_search,normal
rid_000236,ku_000236,2025-01-03 10:45:00,APAC,organic,normal
rid_000237,ku_000237,2025-01-03 11:00:00,APAC,social,normal
rid_000238,ku_000238,2025-01-03 11:15:00,EU,organic,review
rid_000239,ku_000239,2025-01-03 11:30:00,EU,organic,normal
rid_000240,ku_000240,2025-01-03 11:45:00,APAC,social,normal
rid_000241,ku_000241,2025-01-03 12:00:00,NA,paid_search,normal
rid_000242,ku_000242,2025-01-03 12:15:00,APAC,paid_search,normal
rid_000243,ku_000243,2025-01-03 12:30:00,NA,organic,normal
rid_000244,ku_000244,2025-01-03 12:45:00,APAC,social,normal
rid_000245,ku_000245,2025-01-03 13:00:00,APAC,social,normal
rid_000246,ku_000246,2025-01-03 13:15:00,NA,paid_search,normal
rid_000247,ku_000247,2025-01-03 13:30:00,LATAM,paid_search,normal
rid_000248,ku_000248,2025-01-03 13:45:00,EU,paid_search,normal
rid_000249,ku_000249,2025-01-03 14:00:00,LATAM,social,normal
rid_000250,ku_000250,2025-01-03 14:15:00,NA,paid_search,normal
rid_000251,ku_000251,2025-01-03 14:30:00,NA,social,normal
rid_000252,ku_000252,2025-01-03 14:45:00,EU,social,watch
rid_000253,ku_000253,2025-01-03 15:00:00,NA,social,normal
rid_000254,ku_000254,2025-01-03 15:15:00,EU,paid_search,normal
rid_000255,ku_000255,2025-01-03 15:30:00,APAC,paid_search,normal
rid_000256,ku_000256,2025-01-03 15:45:00,NA,direct,normal
rid_000257,ku_000257,2025-01-03 16:00:00,APAC,affiliate,normal
rid_000258,ku_000258,2025-01-03 16:15:00,NA,paid_search,normal
rid_000259,ku_000259,2025-01-03 16:30:00,NA,social,normal
rid_000260,ku_000260,2025-01-03 16:45:00,APAC,social,watch
rid_000261,ku_000261,2025-01-03 17:00:00,LATAM,direct,normal
rid_000262,ku_000262,2025-01-03 17:15:00,NA,direct,normal
rid_000263,ku_000263,2025-01-03 17:30:00,EU,affiliate,normal
rid_000264,ku_000264,2025-01-03 17:45:00,LATAM,paid_search,normal
rid_000265,ku_000265,2025-01-03 18:00:00,LATAM,organic,normal
rid_000266,ku_000266,2025-01-03 18:15:00,APAC,organic,watch
rid_000267,ku_000267,2025-01-03 18:30:00,EU,affiliate,normal
rid_000268,ku_000268,2025-01-03 18:45:00,EU,direct,normal
rid_000269,ku_000269,2025-01-03 19:00:00,APAC,social,normal
rid_000270,ku_000270,2025-01-03 19:15:00,APAC,organic,normal
rid_000271,ku_000271,2025-01-03 19:30:00,EU,social,normal
rid_000272,ku_000272,2025-01-03 19:45:00,NA,social,normal
rid_000273,ku_000273,2025-01-03 20:00:00,NA,social,normal
rid_000274,ku_000274,2025-01-03 20:15:00,LATAM,affiliate,normal
rid_000275,ku_000275,2025-01-03 20:30:00,EU,organic,normal
rid_000276,ku_000276,2025-01-03 20:45:00,EU,affiliate,normal
rid_000277,ku_000277,2025-01-03 21:00:00,EU,affiliate,normal
rid_000278,ku_000278,2025-01-03 21:15:00,LATAM,social,normal
rid_000279,ku_000279,2025-01-03 21:30:00,NA,direct,normal
rid_000280,ku_000280,2025-01-03 21:45:00,NA,paid_search,normal
rid_000281,ku_000281,2025-01-03 22:00:00,EU,direct,normal
rid_000282,ku_000282,2025-01-03 22:15:00,EU,paid_search,normal
rid_000283,ku_000283,2025-01-03 22:30:00,APAC,social,normal
rid_000284,ku_000284,2025-01-03 22:45:00,EU,direct,normal
rid_000285,ku_000285,2025-01-03 23:00:00,EU,affiliate,normal
rid_000286,ku_000286,2025-01-03 23:15:00,LATAM,social,normal
rid_000287,ku_000287,2025-01-03 23:30:00,NA,direct,normal
rid_000288,ku_000288,2025-01-03 23:45:00,APAC,paid_search,normal
rid_000289,ku_000289,2025-01-04 00:00:00,APAC,affiliate,normal
rid_000290,ku_000290,2025-01-04 00:15:00,EU,organic,normal
rid_000291,ku_000291,2025-01-04 00:30:00,LATAM,social,normal
rid_000292,ku_000292,2025-01-04 00:45:00,EU,direct,normal
rid_000293,ku_000293,2025-01-04 01:00:00,LATAM,affiliate,normal
rid_000294,ku_000294,2025-01-04 01:15:00,EU,paid_search,normal
rid_000295,ku_000295,2025-01-04 01:30:00,APAC,paid_search,normal
rid_000296,ku_000296,2025-01-04 01:45:00,APAC,paid_search,normal
rid_000297,ku_000297,2025-01-04 02:00:00,LATAM,organic,normal
rid_000298,ku_000298,2025-01-04 02:15:00,EU,organic,watch
rid_000299,ku_000299,2025-01-04 02:30:00,EU,affiliate,review
rid_000300,ku_000300,2025-01-04 02:45:00,NA,affiliate,normal
rid_000301,ku_000301,2025-01-04 03:00:00,EU,paid_search,watch
rid_000302,ku_000302,2025-01-04 03:15:00,LATAM,organic,normal
rid_000303,ku_000303,2025-01-04 03:30:00,NA,affiliate,normal
rid_000304,ku_000304,2025-01-04 03:45:00,LATAM,direct,watch
rid_000305,ku_000305,2025-01-04 04:00:00,APAC,social,normal
rid_000306,ku_000306,2025-01-04 04:15:00,NA,paid_search,normal
rid_000307,ku_000307,2025-01-04 04:30:00,EU,paid_search,normal
rid_000308,ku_000308,2025-01-04 04:45:00,APAC,social,normal
rid_000309,ku_000309,2025-01-04 05:00:00,EU,organic,watch
rid_000310,ku_000310,2025-01-04 05:15:00,NA,social,normal
rid_000311,ku_000311,2025-01-04 05:30:00,APAC,paid_search,normal
rid_000312,ku_000312,2025-01-04 05:45:00,APAC,social,normal
rid_000313,ku_000313,2025-01-04 06:00:00,NA,social,normal
rid_000314,ku_000314,2025-01-04 06:15:00,EU,organic,normal
rid_000315,ku_000315,2025-01-04 06:30:00,NA,paid_search,watch
rid_000316,ku_000316,2025-01-04 06:45:00,APAC,affiliate,normal
rid_000317,ku_000317,2025-01-04 07:00:00,APAC,organic,normal
rid_000318,ku_000318,2025-01-04 07:15:00,APAC,social,normal
rid_000319,ku_000319,2025-01-04 07:30:00,LATAM,direct,normal
rid_000320,ku_000320,2025-01-04 07:45:00,LATAM,affiliate,normal
rid_000321,ku_000321,2025-01-04 08:00:00,EU,paid_search,normal
rid_000322,ku_000322,2025-01-04 08:15:00,NA,paid_search,normal
rid_000323,ku_000323,2025-01-04 08:30:00,APAC,paid_search,normal
rid_000324,ku_000324,2025-01-04 08:45:00,LATAM,organic,normal
rid_000325,ku_000325,2025-01-04 09:00:00,LATAM,social,watch
rid_000326,ku_000326,2025-01-04 09:15:00,NA,social,normal
rid_000327,ku_000327,2025-01-04 09:30:00,NA,organic,normal
rid_000328,ku_000328,2025-01-04 09:45:00,NA,organic,normal
rid_000329,ku_000329,2025-01-04 10:00:00,NA,paid_search,normal
rid_000330,ku_000330,2025-01-04 10:15:00,APAC,paid_search,normal
rid_000331,ku_000331,2025-01-04 10:30:00,APAC,affiliate,normal
rid_000332,ku_000332,2025-01-04 10:45:00,EU,direct,normal
rid_000333,ku_000333,2025-01-04 11:00:00,EU,direct,normal
rid_000334,ku_000334,2025-01-04 11:15:00,LATAM,direct,normal
rid_000335,ku_000335,2025-01-04 11:30:00,EU,organic,normal
rid_000336,ku_000336,2025-01-04 11:45:00,LATAM,direct,normal
rid_000337,ku_000337,2025-01-04 12:00:00,LATAM,direct,normal
rid_000338,ku_000338,2025-01-04 12:15:00,EU,direct,normal
rid_000339,ku_000339,2025-01-04 12:30:00,NA,paid_search,normal
rid_000340,ku_000340,2025-01-04 12:45:00,LATAM,paid_search,normal
rid_000341,ku_000341,2025-01-04 13:00:00,APAC,organic,normal
rid_000342,ku_000342,2025-01-04 13:15:00,EU,organic,normal
rid_000343,ku_000343,2025-01-04 13:30:00,APAC,direct,normal
rid_000344,ku_000344,2025-01-04 13:45:00,APAC,social,normal
rid_000345,ku_000345,2025-01-04 14:00:00,LATAM,direct,normal
rid_000346,ku_000346,2025-01-04 14:15:00,EU,direct,normal
rid_000347,ku_000347,2025-01-04 14:30:00,LATAM,direct,normal
rid_000348,ku_000348,2025-01-04 14:45:00,LATAM,paid_search,review
rid_000349,ku_000349,2025-01-04 15:00:00,NA,social,normal
rid_000350,ku_000350,2025-01-04 15:15:00,NA,social,normal
rid_000351,ku_000351,2025-01-04 15:30:00,APAC,affiliate,normal
rid_000352,ku_000352,2025-01-04 15:45:00,NA,affiliate,normal
rid_000353,ku_000353,2025-01-04 16:00:00,EU,organic,normal
rid_000354,ku_000354,2025-01-04 16:15:00,EU,paid_search,normal
rid_000355,ku_000355,2025-01-04 16:30:00,LATAM,organic,normal
rid_000356,ku_000356,2025-01-04 16:45:00,LATAM,affiliate,normal
rid_000357,ku_000357,2025-01-04 17:00:00,NA,organic,normal
rid_000358,ku_000358,2025-01-04 17:15:00,LATAM,social,watch
rid_000359,ku_000359,2025-01-04 17:30:00,NA,organic,normal
rid_000360,ku_000360,2025-01-04 17:45:00,APAC,affiliate,normal
rid_000361,ku_000361,2025-01-04 18:00:00,LATAM,organic,normal
rid_000362,ku_000362,2025-01-04 18:15:00,LATAM,direct,normal
rid_000363,ku_000363,2025-01-04 18:30:00,NA,social,watch
rid_000364,ku_000364,2025-01-04 18:45:00,LATAM,affiliate,normal
rid_000365,ku_000365,2025-01-04 19:00:00,NA,direct,normal
rid_000366,ku_000366,2025-01-04 19:15:00,APAC,social,normal
rid_000367,ku_000367,2025-01-04 19:30:00,EU,social,normal
rid_000368,ku_000368,2025-01-04 19:45:00,EU,paid_search,normal
rid_000369,ku_000369,2025-01-04 20:00:00,NA,social,watch
rid_000370,ku_000370,2025-01-04 20:15:00,LATAM,paid_search,normal
rid_000371,ku_000371,2025-01-04 20:30:00,EU,affiliate,normal
rid_000372,ku_000372,2025-01-04 20:45:00,APAC,paid_search,normal
rid_000373,ku_000373,2025-01-04 21:00:00,EU,affiliate,normal
rid_000374,ku_000374,2025-01-04 21:15:00,EU,organic,normal
rid_000375,ku_000375,2025-01-04 21:30:00,LATAM,direct,normal
rid_000376,ku_000376,2025-01-04 21:45:00,NA,social,normal
rid_000377,ku_000377,2025-01-04 22:00:00,APAC,social,normal
rid_000378,ku_000378,2025-01-04 22:15:00,APAC,social,normal
rid_000379,ku_000379,2025-01-04 22:30:00,EU,organic,normal
rid_000380,ku_000380,2025-01-04 22:45:00,EU,social,normal
rid_000381,ku_000381,2025-01-04 23:00:00,NA,paid_search,normal
rid_000382,ku_000382,2025-01-04 23:15:00,LATAM,direct,normal
rid_000383,ku_000383,2025-01-04 23:30:00,LATAM,affiliate,normal
rid_000384,ku_000384,2025-01-04 23:45:00,NA,paid_search,normal
rid_000385,ku_000385,2025-01-05 00:00:00,NA,affiliate,normal
rid_000386,ku_000386,2025-01-05 00:15:00,NA,social,watch
rid_000387,ku_000387,2025-01-05 00:30:00,NA,paid_search,watch
rid_000388,ku_000388,2025-01-05 00:45:00,LATAM,organic,normal
rid_000389,ku_000389,2025-01-05 01:00:00,LATAM,affiliate,normal
rid_000390,ku_000390,2025-01-05 01:15:00,NA,paid_search,normal
rid_000391,ku_000391,2025-01-05 01:30:00,APAC,social,normal
rid_000392,ku_000392,2025-01-05 01:45:00,NA,direct,normal
rid_000393,ku_000393,2025-01-05 02:00:00,EU,social,normal
rid_000394,ku_000394,2025-01-05 02:15:00,APAC,paid_search,normal
