real_identity_id,cookie_id,browser_family,cookie_created_at,reset_generation
rid_006880,ck_000176,safari,2024-10-15 14:35:00,0
rid_016384,ck_000177,firefox,2024-10-15 14:40:00,3
rid_019000,ck_000178,firefox,2024-10-15 14:45:00,3
rid_009515,ck_000179,edge,2024-10-15 14:50:00,2
rid_018693,ck_000180,chrome,2024-10-15 14:55:00,2
rid_015140,ck_000181,firefox,2024-10-15 15:00:00,1
rid_019480,ck_000182,safari,2024-10-15 15:05:00,2
rid_001706,ck_000183,chrome,2024-10-15 15:10:00,2
rid_002980,ck_000184,edge,2024-10-15 15:15:00,0
rid_016498,ck_000185,edge,2024-10-15 15:20:00,0
rid_005848,ck_000186,chrome,2024-10-15 15:25:00,2
rid_016392,ck_000187,safari,2024-10-15 15:30:00,1
rid_012336,ck_000188,firefox,2024-10-15 15:35:00,2
rid_018560,ck_000189,firefox,2024-10-15 15:40:00,3
rid_001249,ck_000190,chrome,2024-10-15 15:45:00,0
rid_011456,ck_000191,firefox,2024-10-15 15:50:00,1
rid_018178,ck_000192,chrome,2024-10-15 15:55:00,0
rid_002192,ck_000193,chrome,2024-10-15 16:00:00,2
rid_006327,ck_000194,edge,2024-10-15 16:05:00,0
rid_005397,ck_000195,edge,2024-10-15 16:10:00,0
rid_015013,ck_000196,firefox,2024-10-15 16:15:00,1
rid_005114,ck_000197,safari,2024-10-15 16:20:00,0
rid_008008,ck_000198,safari,2024-10-15 16:25:00,0
rid_017137,ck_000199,safari,2024-10-15 16:30:00,0
rid_002910,ck_000200,chrome,2024-10-15 16:35:00,0
rid_017509,ck_000201,chrome,2024-10-15 16:40:00,3
rid_013384,ck_000202,firefox,2024-10-15 16:45:00,1
rid_000704,ck_000203,edge,2024-10-15 16:50:00,2
rid_010836,ck_000204,edge,2024-10-15 16:55:00,1
rid_016327,ck_000205,firefox,2024-10-15 17:00:00,2
rid_014721,ck_000206,edge,2024-10-15 17:05:00,0
rid_018395,ck_000207,edge,2024-10-15 17:10:00,2
rid_007781,ck_000208,edge,2024-10-15 17:15:00,1
rid_011148,ck_000209,chrome,2024-10-15 17:20:00,1
rid_013783,ck_000210,chrome,2024-10-15 17:25:00,2
rid_014567,ck_000211,firefox,2024-10-15 17:30:00,3
rid_018810,ck_000212,chrome,2024-10-15 17:35:00,1
rid_011092,ck_000213,edge,2024-10-15 17:40:00,1
rid_000346,ck_000214,chrome,2024-10-15 17:45:00,2
rid_017976,ck_000215,safari,2024-10-15 17:50:00,0
rid_018043,ck_000216,firefox,2024-10-15 17:55:00,2
rid_009376,ck_000217,firefox,2024-10-15 18:00:00,0
rid_019377,ck_000218,chrome,2024-10-15 18:05:00,3
rid_006507,ck_000219,edge,2024-10-15 18:10:00,3
rid_014707,ck_000220,firefox,2024-10-15 18:15:00,2
rid_012965,ck_000221,safari,2024-10-15 18:20:00,3
rid_007013,ck_000222,edge,2024-10-15 18:25:00,3
rid_009056,ck_000223,edge,2024-10-15 18:30:00,2
rid_013328,ck_000224,chrome,2024-10-15 18:35:00,0
rid_003476,ck_000225,safari,2024-10-15 18:40:00,0
rid_010612,ck_000226,safari,2024-10-15 18:45:00,3
rid_001471,ck_000227,chrome,2024-10-15 18:50:00,0
rid_010902,ck_000228,safari,2024-10-15 18:55:00,2
rid_013425,ck_000229,safari,2024-10-15 19:00:00,2
rid_009544,ck_000230,chrome,2024-10-15 19:05:00,3
rid_011623,ck_000231,chrome,2024-10-15 19:10:00,2
rid_015585,ck_000232,chrome,2024-10-15 19:15:00,1
rid_007625,ck_000233,safari,2024-10-15 19:20:00,0
rid_009664,ck_000234,firefox,2024-10-15 19:25:00,1
rid_003724,ck_000235,firefox,2024-10-15 19:30:00,2
rid_013980,ck_000236,firefox,2024-10-15 19:35:00,2
rid_003311,ck_000237,edge,2024-10-15 19:40:00,1
rid_000700,ck_000238,safari,2024-10-15 19:45:00,0
rid_009441,ck_000239,edge,2024-10-15 19:50:00,1
rid_002104,ck_000240,edge,2024-10-15 19:55:00,0
rid_004808,ck_000241,edge,2024-10-15 20:00:00,1
rid_016552,ck_000242,edge,2024-10-15 20:05:00,0
rid_013187,ck_000243,edge,2024-10-15 20:10:00,0
rid_016628,ck_000244,firefox,2024-10-15 20:15:00,3
rid_012153,ck_000245,chrome,2024-10-15 20:20:00,3
rid_014033,ck_000246,safari,2024-10-15 20:25:00,1
rid_016182,ck_000247,safari,2024-10-15 20:30:00,0
rid_007686,ck_000248,safari,2024-10-15 20:35:00,2
rid_017135,ck_000249,safari,2024-10-15 20:40:00,3
rid_018296,ck_000250,safari,2024-10-15 20:45:00,3
rid_018049,ck_000251,safari,2024-10-15 20:50:00,3
rid_005961,ck_000252,chrome,2024-10-15 20:55:00,2
rid_015083,ck_000253,safari,2024-10-15 21:00:00,2
rid_006554,ck_000254,firefox,2024-10-15 21:05:00,2
rid_003424,ck_000255,edge,2024-10-15 21:10:00,0
rid_008015,ck_000256,chrome,2024-10-15 21:15:00,0
rid_006254,ck_000257,edge,2024-10-15 21:20:00,2
rid_000783,ck_000258,edge,2024-10-15 21:25:00,2
rid_018290,ck_000259,chrome,2024-10-15 21:30:00,1
rid_004425,ck_000260,firefox,2024-10-15 21:35:00,1
rid_013582,ck_000261,firefox,2024-10-15 21:40:00,0
rid_001474,ck_000262,firefox,2024-10-15 21:45:00,0
rid_009926,ck_000263,safari,2024-10-15 21:50:00,2
rid_010627,ck_000264,edge,2024-10-15 21:55:00,3
rid_004518,ck_000265,edge,2024-10-15 22:00:00,0
rid_013905,ck_000266,firefox,2024-10-15 22:05:00,3
rid_004535,ck_000267,firefox,2024-10-15 22:10:00,0
rid_011803,ck_000268,edge,2024-10-15 22:15:00,3
rid_008939,ck_000269,chrome,2024-10-15 22:20:00,0
rid_013308,ck_000270,edge,2024-10-15 22:25:00,3
rid_007954,ck_000271,firefox,2024-10-15 22:30:00,0
rid_016400,ck_000272,edge,2024-10-15 22:35:00,1
rid_012237,ck_000273,safari,2024-10-15 22:40:00,0
rid_019611,ck_000274,chrome,2024-10-15 22:45:00,2
rid_006221,ck_000275,firefox,2024-10-15 22:50:00,3
rid_002520,ck_000276,firefox,2024-10-15 22:55:00,1
rid_004065,ck_000277,safari,2024-10-15 23:00:00,3
rid_002963,ck_000278,safari,2024-10-15 23:05:00,2
rid_014316,ck_000279,safari,2024-10-15 23:10:00,1
rid_016891,ck_000280,chrome,2024-10-15 23:15:00,3
rid_013815,ck_000281,chrome,2024-10-15 23:20:00,1
rid_011379,ck_000282,edge,2024-10-15 23:25:00,2
rid_004948,ck_000283,safari,2024-10-15 23:30:00,1
rid_019098,ck_000284,chrome,2024-10-15 23:35:00,0
rid_015767,ck_000285,chrome,2024-10-15 23:40:00,2
rid_007991,ck_000286,chrome,2024-10-15 23:45:00,3
rid_017632,ck_000287,chrome,2024-10-15 23:50:00,1
rid_014740,ck_000288,chrome,2024-10-15 23:55:00,1
rid_000038,ck_000289,safari,2024-10-16 00:00:00,3
rid_006790,ck_000290,edge,2024-10-16 00:05:00,2
rid_009995,ck_000291,safari,2024-10-16 00:10:00,1
rid_013579,ck_000292,safari,2024-10-16 00:15:00,3
rid_006147,ck_000293,edge,2024-10-16 00:20:00,1
rid_012442,ck_000294,edge,2024-10-16 00:25:00,0
rid_012450,ck_000295,safari,2024-10-16 00:30:00,2
rid_010990,ck_000296,chrome,2024-10-16 00:35:00,0
rid_007618,ck_000297,firefox,2024-10-16 00:40:00,0
rid_005825,ck_000298,firefox,2024-10-16 00:45:00,2
rid_004016,ck_000299,safari,2024-10-16 00:50:00,3
rid_017125,ck_000300,safari,2024-10-16 00:55:00,3
rid_006762,ck_000301,edge,2024-10-16 01:00:00,2
rid_002279,ck_000302,firefox,2024-10-16 01:05:00,0
rid_014972,ck_000303,firefox,2024-10-16 01:10:00,3
rid_017189,ck_000304,firefox,2024-10-16 01:15:00,2
rid_014869,ck_000305,edge,2024-10-16 01:20:00,3
rid_005187,ck_000306,firefox,2024-10-16 01:25:00,3
rid_011658,ck_000307,edge,2024-10-16 01:30:00,0
rid_015982,ck_000308,firefox,2024-10-16 01:35:00,3
rid_010564,ck_000309,edge,2024-10-16 01:40:00,3
rid_019150,ck_000310,edge,2024-10-16 01:45:00,0
rid_016861,ck_000311,firefox,2024-10-16 01:50:00,1
rid_001526,ck_000312,chrome,2024-10-16 01:55:00,0
rid_018855,ck_000313,safari,2024-10-16 02:00:00,1
rid_009772,ck_000314,firefox,2024-10-16 02:05:00,0
rid_001762,ck_000315,firefox,2024-10-16 02:10:00,0
rid_019354,ck_000316,safari,2024-10-16 02:15:00,3
rid_007029,ck_000317,safari,2024-10-16 02:20:00,3
rid_000389,ck_000318,edge,2024-10-16 02:25:00,3
rid_003898,ck_000319,firefox,2024-10-16 02:30:00,0
rid_000429,ck_000320,safari,2024-10-16 02:35:00,2
rid_009252,ck_000321,firefox,2024-10-16 02:40:00,0
rid_009584,ck_000322,chrome,2024-10-16 02:45:00,0
rid_001474,ck_000323,chrome,2024-10-16 02:50:00,3
rid_010468,ck_000324,edge,2024-10-16 02:55:00,1
rid_019246,ck_000325,edge,2024-10-16 03:00:00,0
rid_012672,ck_000326,chrome,2024-10-16 03:05:00,0
rid_018483,ck_000327,edge,2024-10-16 03:10:00,2
rid_014186,ck_000328,firefox,2024-10-16 03:15:00,1
rid_008909,ck_000329,chrome,2024-10-16 03:20:00,3
rid_003281,ck_000330,edge,2024-10-16 03:25:00,2
rid_012061,ck_000331,edge,2024-10-16 03:30:00,3
rid_004330,ck_000332,firefox,2024-10-16 03:35:00,1
rid_003788,ck_000333,firefox,2024-10-16 03:40:00,3
rid_001213,ck_000334,chrome,2024-10-16 03:45:00,0
rid_018766,ck_000335,firefox,2024-10-16 03:50:00,1
rid_000650,ck_000336,chrome,2024-10-16 03:55:00,1
rid_015706,ck_000337,firefox,2024-10-16 04:00:00,2
rid_007562,ck_000338,edge,2024-10-16 04:05:00,3
rid_018955,ck_000339,edge,2024-10-16 04:10:00,2
rid_017298,ck_000340,chrome,2024-10-16 04:15:00,2
rid_006936,ck_000341,edge,2024-10-16 04:20:00,0
rid_011540,ck_000342,chrome,2024-10-16 04:25:00,1
rid_018297,ck_000343,chrome,2024-10-16 04:30:00,0
rid_008186,ck_000344,chrome,2024-10-16 04:35:00,3
rid_012410,ck_000345,firefox,2024-10-16 04:40:00,1
rid_001787,ck_000346,safari,2024-10-16 04:45:00,2
rid_012631,ck_000347,safari,2024-10-16 04:50:00,1
rid_014662,ck_000348,edge,2024-10-16 04:55:00,2
rid_007276,ck_000349,firefox,2024-10-16 05:00:00,3
rid_017939,ck_000350,firefox,2024-10-16 05:05:00,0
rid_015280,ck_000351,chrome,2024-10-16 05:10:00,2
rid_001359,ck_000352,firefox,2024-10-16 05:15:00,1
rid_017343,ck_000353,chrome,2024-10-16 05:20:00,2
rid_013722,ck_000354,safari,2024-10-16 05:25:00,2
rid_015279,ck_000355,edge,2024-10-16 05:30:00,0
rid_012816,ck_000356,edge,2024-10-16 05:35:00,2
rid_004111,ck_000357,firefox,2024-10-16 05:40:00,0
rid_018096,ck_000358,chrome,2024-10-16 05:45:00,1
rid_014753,ck_000359,safari,2024-10-16 05:50:00,3
rid_010765,ck_000360,safari,2024-10-16 05:55:00,1
rid_008168,ck_000361,safari,2024-10-16 06:00:00,3
rid_002699,ck_000362,safari,2024-10-16 06:05:00,3
rid_013659,ck_000363,edge,2024-10-16 06:10:00,1
rid_009216,ck_000364,firefox,2024-10-16 06:15:00,3
rid_016693,ck_000365,edge,2024-10-16 06:20:00,1
rid_019280,ck_000366,edge,2024-10-16 06:25:00,2
rid_016079,ck_000367,safari,2024-10-16 06:30:00,0
rid_012646,ck_000368,firefox,2024-10-16 06:35:00,0
rid_002787,ck_000369,firefox,2024-10-16 06:40:00,0
rid_001736,ck_000370,edge,2024-10-16 06:45:00,1
rid_007827,ck_000371,safari,2024-10-16 06:50:00,1
rid_010094,ck_000372,firefox,2024-10-16 06:55:00,2
rid_007739,ck_000373,firefox,2024-10-16 07:00:00,1
rid_012319,ck_000374,firefox,2024-10-16 07:05:00,0
rid_005687,ck_000375,firefox,2024-10-16 07:10:00,0
rid_003468,ck_000376,firefox,2024-10-16 07:15:00,1
rid_009261,ck_000377,safari,2024-10-16 07:20:00,2
rid_016331,ck_000378,chrome,2024-10-16 07:25:00,2
rid_015217,ck_000379,chrome,2024-10-16 07:30:00,3
rid_000943,ck_000380,firefox,2024-10-16 07:35:00,1
rid_005774,ck_000381,edge,2024-10-16 07:40:00,2
rid_014588,ck_000382,edge,2024-10-16 07:45:00,0
rid_001085,ck_000383,firefox,2024-10-16 07:50:00,1
rid_009162,ck_000384,safari,2024-10-16 07:55:00,0
rid_017818,ck_000385,safari,2024-10-16 08:00:00,3
rid_010742,ck_000386,edge,2024-10-16 08:05:00,1
rid_016374,ck_000387,safari,2024-10-16 08:10:00,3
rid_009119,ck_000388,firefox,2024-10-16 08:15:00,0
rid_004632,ck_000389,chrome,2024-10-16 08:20:00,2
rid_003739,ck_000390,safari,2024-10-16 08:25:00,2
rid_019435,ck_000391,chrome,2024-10-16 08:30:00,2
rid_010285,ck_000392,edge,2024-10-16 08:35:00,1
rid_004539,ck_000393,safari,2024-10-16 08:40:00,0
rid_000307,ck_000394,firefox,2024-10-16 08:45:00,1
rid_004251,ck_000395,chrome,2024-10-16 08:50:00,1
rid_019432,ck_000396,chrome,2024-10-16 08:55:00,2
rid_009134,ck_000397,firefox,2024-10-16 09:00:00,2
rid_004369,ck_000398,firefox,2024-10-16 09:05:00,0
rid_010426,ck_000399,firefox,2024-10-16 09:10:00,3
rid_013727,ck_000400,chrome,2024-10-16 09:15:00,3
rid_017965,ck_000401,safari,2024-10-16 09:20:00,0
rid_010176,ck_000402,firefox,2024-10-16 09:25:00,3
rid_011609,ck_000403,safari,2024-10-16 09:30:00,2
rid_004224,ck_000404,edge,2024-10-16 09:35:00,3
rid_010868,ck_000405,safari,2024-10-16 09:40:00,1
rid_006176,ck_000406,firefox,2024-10-16 09:45:00,0
rid_008855,ck_000407,chrome,2024-10-16 09:50:00,0
rid_004395,ck_000408,firefox,2024-10-16 09:55:00,3
rid_005453,ck_000409,firefox,2024-10-16 10:00:00,3
rid_017548,ck_000410,safari,2024-10-16 10:05:00,3
rid_005890,ck_000411,firefox,2024-10-16 10:10:00,1
rid_003202,ck_000412,firefox,2024-10-16 10:15:00,3
rid_006549,ck_000413,chrome,2024-10-16 10:20:00,2
rid_001339,ck_000414,firefox,2024-10-16 10:25:00,2
rid_012199,ck_000415,edge,2024-10-16 10:30:00,3
rid_012026,ck_000416,firefox,2024-10-16 10:35:00,1
rid_008494,ck_000417,firefox,2024-10-16 10:40:00,1
rid_007063,ck_000418,firefox,2024-10-16 10:45:00,0
rid_017358,ck_000419,safari,2024-10-16 10:50:00,2
rid_008566,ck_000420,safari,2024-10-16 10:55:00,2
rid_018656,ck_000421,firefox,2024-10-16 11:00:00,1
rid_009497,ck_000422,chrome,2024-10-16 11:05:00,0
rid_016467,ck_000423,safari,2024-10-16 11:10:00,2
rid_019321,ck_000424,edge,2024-10-16 11:15:00,0
rid_014684,ck_000425,safari,2024-10-16 11:20:00,3
rid_002367,ck_000426,safari,2024-10-16 11:25:00,0
rid_006532,ck_000427,firefox,2024-10-16 11:30:00,3
rid_000796,ck_000428,firefox,2024-10-16 11:35:00,3
rid_004312,ck_000429,chrome,2024-10-16 11:40:00,0
rid_016852,ck_000430,edge,2024-10-16 11:45:00,3
rid_007467,ck_000431,edge,2024-10-16 11:50:00,3
rid_014304,ck_000432,safari,2024-10-16 11:55:00,0
rid_019456,ck_000433,edge,2024-10-16 12:00:00,1
rid_003692,ck_000434,chrome,2024-10-16 12:05:00,3
rid_008933,ck_000435,edge,2024-10-16 12:10:00,3
rid_010349,ck_000436,safari,2024-10-16 12:15:00,0
rid_003999,ck_000437,firefox,2024-10-16 12:20:00,2
rid_001445,ck_000438,firefox,2024-10-16 12:25:00,3
rid_012432,ck_000439,firefox,2024-10-16 12:30:00,1
rid_012389,ck_000440,edge,2024-10-16 12:35:00,0
rid_007649,ck_000441,edge,2024-10-16 12:40:00,3
rid_012247,ck_000442,safari,2024-10-16 12:45:00,2
rid_001453,ck_000443,firefox,2024-10-16 12:50:00,2
rid_012958,ck_000444,edge,2024-10-16 12:55:00,0
rid_004442,ck_000445,firefox,2024-10-16 13:00:00,0
rid_005638,ck_000446,firefox,2024-10-16 13:05:00,1
rid_012556,ck_000447,firefox,2024-10-16 13:10:00,0
rid_010935,ck_000448,edge,2024-10-16 13:15:00,1
rid_008026,ck_000449,safari,2024-10-16 13:20:00,2
rid_012038,ck_000450,chrome,2024-10-16 13:25:00,3
rid_019376,ck_000451,edge,2024-10-16 13:30:00,1
rid_002691,ck_000452,chrome,2024-10-16 13:35:00,3
rid_006358,ck_000453,firefox,2024-10-16 13:40:00,0
rid_019198,ck_000454,safari,2024-10-16 13:45:00,1
rid_016441,ck_000455,safari,2024-10-16 13:50:00,1
rid_016932,ck_000456,safari,2024-10-16 13:55:00,2
