real_identity_id,browser_fingerprint_id,user_agent_family
rid_004328,bf_000115,firefox
rid_017407,bf_000116,firefox
rid_003555,bf_000117,safari
rid_013071,bf_000118,chrome
rid_009801,bf_000119,safari
rid_015855,bf_000120,chrome
rid_011844,bf_000121,edge
rid_004178,bf_000122,safari
rid_009665,bf_000123,safari
rid_006098,bf_000124,chrome
rid_000456,bf_000125,firefox
rid_006658,bf_000126,edge
rid_011879,bf_000127,safari
rid_006521,bf_000128,edge
rid_017667,bf_000129,chrome
rid_003424,bf_000130,firefox
rid_005877,bf_000131,chrome
rid_012544,bf_000132,firefox
rid_004236,bf_000133,safari
rid_009979,bf_000134,chrome
rid_016595,bf_000135,chrome
rid_003852,bf_000136,edge
rid_007812,bf_000137,safari
rid_004392,bf_000138,safari
rid_003394,bf_000139,chrome
rid_015895,bf_000140,edge
rid_004004,bf_000141,chrome
rid_018272,bf_000142,firefox
rid_007249,bf_000143,edge
rid_018952,bf_000144,safari
rid_011892,bf_000145,edge
rid_000383,bf_000146,chrome
rid_014186,bf_000147,firefox
rid_006375,bf_000148,firefox
rid_009703,bf_000149,firefox
rid_011801,bf_000150,chrome
rid_013005,bf_000151,safari
rid_002852,bf_000152,safari
rid_004328,bf_000153,edge
rid_010247,bf_000154,safari
rid_004826,bf_000155,firefox
rid_006845,bf_000156,safari
rid_018576,bf_000157,firefox
rid_005632,bf_000158,chrome
rid_018236,bf_000159,chrome
rid_011332,bf_000160,firefox
rid_006521,bf_000161,edge
rid_003310,bf_000162,chrome
rid_007299,bf_000163,chrome
rid_018909,bf_000164,firefox
rid_012680,bf_000165,edge
rid_004272,bf_000166,edge
rid_005242,bf_000167,firefox
rid_007786,bf_000168,edge
rid_014473,bf_000169,firefox
rid_006462,bf_000170,chrome
rid_018042,bf_000171,safari
rid_012563,bf_000172,safari
rid_016280,bf_000173,edge
rid_001096,bf_000174,edge
rid_014893,bf_000175,safari
rid_007383,bf_000176,safari
rid_009205,bf_000177,safari
rid_019535,bf_000178,chrome
rid_016144,bf_000179,firefox
rid_008283,bf_000180,edge
rid_012226,bf_000181,chrome
rid_014858,bf_000182,edge
rid_001855,bf_000183,safari
rid_001176,bf_000184,chrome
rid_014884,bf_000185,chrome
rid_004580,bf_000186,edge
rid_002675,bf_000187,firefox
rid_018399,bf_000188,firefox
rid_015124,bf_000189,safari
rid_008178,bf_000190,safari
rid_009911,bf_000191,edge
rid_009694,bf_000192,edge
rid_019047,bf_000193,safari
rid_003746,bf_000194,edge
rid_007530,bf_000195,chrome
rid_013805,bf_000196,firefox
rid_005765,bf_000197,safari
rid_008359,bf_000198,edge
rid_001374,bf_000199,chrome
rid_016876,bf_000200,safari
rid_000352,bf_000201,edge
rid_018631,bf_000202,edge
rid_008289,bf_000203,firefox
rid_011655,bf_000204,firefox
rid_002935,bf_000205,safari
rid_002305,bf_000206,firefox
rid_003140,bf_000207,safari
rid_012751,bf_000208,firefox
rid_004063,bf_000209,safari
rid_004743,bf_000210,safari
rid_015390,bf_000211,firefox
rid_016710,bf_000212,firefox
rid_016324,bf_000213,edge
rid_008992,bf_000214,firefox
rid_007251,bf_000215,edge
rid_010295,bf_000216,firefox
rid_011490,bf_000217,chrome
rid_018286,bf_000218,chrome
rid_008701,bf_000219,chrome
rid_003385,bf_000220,firefox
rid_012097,bf_000221,edge
rid_001308,bf_000222,safari
rid_010966,bf_000223,safari
rid_012697,bf_000224,firefox
rid_017922,bf_000225,chrome
rid_003225,bf_000226,edge
rid_015853,bf_000227,edge
rid_019677,bf_000228,chrome
rid_009790,bf_000229,edge
rid_010273,bf_000230,firefox
rid_017061,bf_000231,firefox
rid_007348,bf_000232,safari
rid_012436,bf_000233,safari
rid_001106,bf_000234,safari
rid_000557,bf_000235,safari
rid_016916,bf_000236,safari
rid_007243,bf_000237,firefox
rid_018625,bf_000238,safari
rid_017745,bf_000239,edge
rid_007276,bf_000240,safari
rid_007613,bf_000241,edge
rid_004778,bf_000242,firefox
rid_004755,bf_000243,safari
rid_007268,bf_000244,chrome
rid_007291,bf_000245,firefox
rid_012542,bf_000246,firefox
rid_007252,bf_000247,edge
rid_004169,bf_000248,edge
rid_008415,bf_000249,safari
rid_015531,bf_000250,edge
rid_001327,bf_000251,chrome
rid_017891,bf_000252,edge
rid_007511,bf_000253,edge
rid_006622,bf_000254,chrome
rid_019717,bf_000255,edge
rid_013735,bf_000256,edge
rid_014925,bf_000257,chrome
rid_000604,bf_000258,chrome
rid_003722,bf_000259,firefox
rid_001500,bf_000260,firefox
rid_016243,bf_000261,chrome
rid_014309,bf_000262,edge
rid_019211,bf_000263,edge
rid_018369,bf_000264,safari
rid_016754,bf_000265,chrome
rid_017801,bf_000266,chrome
rid_009178,bf_000267,safari
rid_001068,bf_000268,edge
rid_014380,bf_000269,chrome
rid_012177,bf_000270,firefox
rid_004036,bf_000271,safari
rid_007298,bf_000272,firefox
rid_006956,bf_000273,safari
rid_002325,bf_000274,chrome
rid_001951,bf_000275,firefox
rid_009546,bf_000276,edge
rid_018463,bf_000277,safari
rid_002667,bf_000278,safari
rid_001927,bf_000279,edge
rid_019703,bf_000280,edge
rid_017000,bf_000281,edge
rid_018160,bf_000282,chrome
rid_008604,bf_000283,firefox
rid_019320,bf_000284,chrome
rid_007824,bf_000285,firefox
rid_005666,bf_000286,chrome
rid_001068,bf_000287,firefox
rid_012220,bf_000288,firefox
rid_010746,bf_000289,edge
rid_017063,bf_000290,firefox
rid_014349,bf_000291,edge
rid_005507,bf_000292,safari
rid_006357,bf_000293,chrome
rid_019128,bf_000294,edge
rid_016927,bf_000295,chrome
rid_005938,bf_000296,firefox
rid_007832,bf_000297,chrome
rid_004265,bf_000298,chrome
rid_012815,bf_000299,firefox
rid_011350,bf_000300,firefox
rid_005047,bf_000301,edge
rid_007429,bf_000302,edge
rid_006264,bf_000303,safari
rid_003024,bf_000304,edge
rid_016208,bf_000305,edge
rid_011470,bf_000306,firefox
rid_013099,bf_000307,safari
rid_009153,bf_000308,safari
rid_019611,bf_000309,safari
rid_013588,bf_000310,chrome
rid_011944,bf_000311,chrome
rid_001189,bf_000312,chrome
rid_012907,bf_000313,edge
rid_014164,bf_000314,safari
rid_017323,bf_000315,chrome
rid_002772,bf_000316,firefox
rid_001206,bf_000317,safari
rid_006045,bf_000318,firefox
rid_001048,bf_000319,edge
rid_002577,bf_000320,edge
rid_004232,bf_000321,edge
rid_019906,bf_000322,safari
rid_007735,bf_000323,edge
rid_008346,bf_000324,chrome
rid_005573,bf_000325,chrome
rid_014335,bf_000326,edge
rid_014709,bf_000327,edge
rid_012907,bf_000328,firefox
rid_016780,bf_000329,edge
rid_013154,bf_000330,safari
rid_000083,bf_000331,chrome
rid_003175,bf_000332,chrome
rid_002616,bf_000333,edge
rid_001169,bf_000334,firefox
rid_018349,bf_000335,firefox
rid_016882,bf_000336,chrome
rid_013511,bf_000337,firefox
rid_010470,bf_000338,edge
rid_007926,bf_000339,edge
rid_007480,bf_000340,chrome
rid_003152,bf_000341,edge
rid_007823,bf_000342,chrome
rid_004461,bf_000343,safari
rid_015743,bf_000344,edge
rid_019128,bf_000345,chrome
rid_009265,bf_000346,firefox
rid_013147,bf_000347,chrome
rid_002380,bf_000348,edge
rid_013826,bf_000349,firefox
rid_013690,bf_000350,safari
rid_016013,bf_000351,firefox
rid_010024,bf_000352,firefox
rid_012289,bf_000353,chrome
rid_005720,bf_000354,chrome
rid_010347,bf_000355,chrome
rid_008637,bf_000356,chrome
rid_006397,bf_000357,edge
rid_000100,bf_000358,firefox
rid_004919,bf_000359,firefox
rid_017327,bf_000360,firefox
rid_013871,bf_000361,firefox
rid_016307,bf_000362,safari
rid_009106,bf_000363,chrome
rid_003535,bf_000364,edge
rid_003434,bf_000365,safari
rid_011840,bf_000366,safari
rid_016625,bf_000367,chrome
rid_008511,bf_000368,chrome
rid_018599,bf_000369,edge
rid_003158,bf_000370,safari
rid_007307,bf_000371,firefox
rid_013308,bf_000372,firefox
rid_005171,bf_000373,safari
rid_018706,bf_000374,chrome
rid_010808,bf_000375,edge
rid_003455,bf_000376,edge
rid_007843,bf_000377,firefox
rid_012892,bf_000378,safari
rid_010815,bf_000379,chrome
rid_005803,bf_000380,firefox
rid_010579,bf_000381,edge
rid_014742,bf_000382,chrome
rid_018365,bf_000383,firefox
rid_009599,bf_000384,chrome
rid_005637,bf_000385,edge
rid_012145,bf_000386,safari
rid_016561,bf_000387,chrome
rid_016783,bf_000388,edge
rid_010859,bf_000389,firefox
rid_019782,bf_000390,chrome
rid_013821,bf_000391,edge
rid_014153,bf_000392,edge
rid_000505,bf_000393,chrome
rid_012916,bf_000394,safari
rid_012429,bf_000395,edge
rid_008873,bf_000396,chrome
rid_001763,bf_000397,safari
rid_006058,bf_000398,firefox
rid_001913,bf_000399,edge
rid_014845,bf_000400,edge
rid_013037,bf_000401,edge
rid_011647,bf_000402,chrome
rid_009303,bf_000403,firefox
rid_018697,bf_000404,chrome
rid_014214,bf_000405,edge
rid_019120,bf_000406,safari
rid_006680,bf_000407,edge
rid_019150,bf_000408,edge
rid_008338,bf_000409,firefox
rid_001605,bf_000410,chrome
rid_017272,bf_000411,firefox
rid_003448,bf_000412,chrome
rid_014682,bf_000413,firefox
rid_000744,bf_000414,firefox
rid_005455,bf_000415,chrome
rid_005225,bf_000416,edge
rid_002136,bf_000417,firefox
rid_006767,bf_000418,firefox
rid_012312,bf_000419,safari
rid_000126,bf_000420,chrome
rid_018415,bf_000421,firefox
rid_002029,bf_000422,chrome
rid_000383,bf_000423,edge
rid_014496,bf_000424,safari
rid_002420,bf_000425,chrome
rid_017906,bf_000426,edge
rid_002290,bf_000427,safari
rid_014341,bf_000428,firefox
rid_019010,bf_000429,chrome
rid_003932,bf_000430,chrome
rid_005784,bf_000431,edge
rid_007363,bf_000432,edge
rid_007789,bf_000433,edge
rid_000472,bf_000434,firefox
rid_007330,bf_000435,edge
rid_004105,bf_000436,chrome
rid_007155,bf_000437,edge
rid_001010,bf_000438,safari
rid_008695,bf_000439,firefox
rid_004191,bf_000440,chrome
rid_006888,bf_000441,edge
rid_003242,bf_000442,chrome
rid_006699,bf_000443,edge
rid_002540,bf_000444,chrome
rid_012070,bf_000445,edge
rid_013647,bf_000446,firefox
rid_011279,bf_000447,safari
rid_015250,bf_000448,chrome
rid_003581,bf_000449,firefox
rid_010311,bf_000450,chrome
rid_000829,bf_000451,chrome
rid_006532,bf_000452,edge
rid_011391,bf_000453,firefox
rid_002194,bf_000454,edge
rid_009984,bf_000455,chrome
rid_004818,bf_000456,safari
rid_000696,bf_000457,safari
rid_009949,bf_000458,safari
rid_018385,bf_000459,chrome
rid_003908,bf_000460,safari
rid_015761,bf_000461,edge
rid_006946,bf_000462,safari
rid_011156,bf_000463,edge
rid_011639,bf_000464,chrome
rid_008861,bf_000465,edge
rid_005716,bf_000466,safari
rid_009948,bf_000467,chrome
rid_002850,bf_000468,chrome
rid_013503,bf_000469,edge
rid_010969,bf_000470,safari
rid_005366,bf_000471,firefox
rid_006055,bf_000472,safari
rid_014774,bf_000473,firefox
rid_012448,bf_000474,firefox
rid_010070,bf_000475,firefox
rid_019503,bf_000476,chrome
rid_019049,bf_000477,firefox
rid_002560,bf_000478,edge
rid_008035,bf_000479,edge
rid_012075,bf_000480,firefox
rid_008731,bf_000481,firefox
rid_016002,bf_000482,chrome
rid_010748,bf_000483,edge
rid_000415,bf_000484,edge
rid_007735,bf_000485,chrome
rid_016960,bf_000486,chrome
rid_003910,bf_000487,edge
rid_006446,bf_000488,firefox
rid_018831,bf_000489,firefox
rid_009231,bf_000490,firefox
rid_008047,bf_000491,firefox
rid_011114,bf_000492,edge
rid_004895,bf_000493,edge
rid_015991,bf_000494,chrome
rid_009256,bf_000495,chrome
rid_008347,bf_000496,chrome
rid_000517,bf_000497,safari
rid_016295,bf_000498,firefox
rid_012702,bf_000499,safari
rid_003593,bf_000500,firefox
rid_018628,bf_000501,safari
rid_007063,bf_000502,edge
rid_000605,bf_000503,safari
rid_016271,bf_000504,edge
rid_010182,bf_000505,edge
rid_019267,bf_000506,safari
rid_001873,bf_000507,safari
rid_014584,bf_000508,safari
rid_001160,bf_000509,edge
rid_017527,bf_000510,chrome
rid_001219,bf_000511,firefox
rid_001786,bf_000512,firefox
rid_001464,bf_000513,chrome
rid_006239,bf_000514,safari
rid_001552,bf_000515,safari
rid_008797,bf_000516,chrome
rid_011490,bf_000517,safari
rid_007883,bf_000518,chrome
rid_008509,bf_000519,firefox
rid_006139,bf_000520,firefox
rid_016311,bf_000521,safari
rid_001398,bf_000522,edge
rid_003725,bf_000523,chrome
rid_001688,bf_000524,edge
rid_013816,bf_000525,edge
rid_014192,bf_000526,edge
rid_013764,bf_000527,chrome
rid_013035,bf_000528,firefox
rid_000856,bf_000529,safari
rid_002033,bf_000530,safari
rid_012591,bf_000531,chrome
rid_014121,bf_000532,safari
rid_017598,bf_000533,edge
rid_013014,bf_000534,chrome
rid_006809,bf_000535,edge
rid_007371,bf_000536,safari
rid_004347,bf_000537,firefox
rid_014074,bf_000538,edge
rid_009025,bf_000539,chrome
rid_004971,bf_000540,safari
rid_016091,bf_000541,edge
rid_007353,bf_000542,chrome
rid_010732,bf_000543,edge
rid_009682,bf_000544,safari
rid_018186,bf_000545,chrome
rid_016380,bf_000546,firefox
rid_019924,bf_000547,firefox
rid_003701,bf_000548,edge
rid_000960,bf_000549,firefox
rid_001176,bf_000550,chrome
rid_000205,bf_000551,safari
rid_011304,bf_000552,safari
rid_012633,bf_000553,edge
rid_011600,bf_000554,safari
rid_002834,bf_000555,safari
rid_002970,bf_000556,safari
rid_006397,bf_000557,firefox
rid_016724,bf_000558,chrome
rid_008589,bf_000559,firefox
rid_010935,bf_000560,chrome
rid_019800,bf_000561,firefox
rid_009516,bf_000562,chrome
rid_000360,bf_000563,firefox
rid_006396,bf_000564,safari
rid_018369,bf_000565,edge
rid_018654,bf_000566,edge
rid_017621,bf_000567,safari
rid_008792,bf_000568,chrome
rid_004335,bf_000569,safari
rid_003646,bf_000570,firefox
rid_005893,bf_000571,edge
rid_016822,bf_000572,firefox
rid_005339,bf_000573,safari
rid_013540,bf_000574,chrome
rid_002638,bf_000575,safari
rid_010856,bf_000576,edge
rid_002247,bf_000577,edge
rid_018194,bf_000578,chrome
rid_015153,bf_000579,safari
rid_017579,bf_000580,firefox
rid_007188,bf_000581,chrome
rid_014854,bf_000582,chrome
rid_014888,bf_000583,edge
rid_011595,bf_000584,edge
rid_013018,bf_000585,chrome
rid_018616,bf_000586,edge
rid_010955,bf_000587,firefox
rid_016995,bf_000588,firefox
rid_016314,bf_000589,edge
rid_016560,bf_000590,edge
rid_002534,bf_000591,safari
rid_017693,bf_000592,edge
rid_013471,bf_000593,firefox
rid_003176,bf_000594,chrome
rid_008581,bf_000595,edge
rid_003633,bf_000596,firefox
rid_017428,bf_000597,firefox
rid_016661,bf_000598,edge
rid_004800,bf_000599,safari
rid_009800,bf_000600,safari
rid_006563,bf_000601,chrome
rid_011582,bf_000602,chrome
rid_017810,bf_000603,edge
rid_001081,bf_000604,edge
rid_017514,bf_000605,edge
rid_006613,bf_000606,chrome
rid_008300,bf_000607,firefox
rid_003287,bf_000608,firefox
rid_013005,bf_000609,edge
rid_015415,bf_000610,edge
rid_016020,bf_000611,firefox
rid_004934,bf_000612,safari
rid_001322,bf_000613,firefox
rid_005732,bf_000614,chrome
rid_003306,bf_000615,edge
rid_013716,bf_000616,safari
rid_018462,bf_000617,safari
rid_019722,bf_000618,safari
rid_016982,bf_000619,firefox
rid_008499,bf_000620,chrome
rid_001834,bf_000621,edge
rid_018439,bf_000622,edge
rid_003861,bf_000623,edge
rid_015055,bf_000624,edge
rid_011120,bf_000625,firefox
rid_004745,bf_000626,firefox
rid_012456,bf_000627,safari
rid_014610,bf_000628,chrome
rid_017551,bf_000629,chrome
rid_000612,bf_000630,edge
rid_011674,bf_000631,safari
rid_007269,bf_000632,safari
rid_003431,bf_000633,firefox
rid_000260,bf_000634,edge
rid_001891,bf_000635,edge
rid_013072,bf_000636,safari
rid_016337,bf_000637,safari
rid_015287,bf_000638,edge
rid_007507,bf_000639,firefox
rid_007776,bf_000640,safari
rid_012931,bf_000641,firefox
rid_016155,bf_000642,safari
rid_005072,bf_000643,chrome
rid_015699,bf_000644,safari
rid_006604,bf_000645,edge
rid_004748,bf_000646,firefox
rid_014420,bf_000647,safari
rid_014092,bf_000648,edge
rid_005493,bf_000649,firefox
rid_005347,bf_000650,safari
rid_003180,bf_000651,edge
rid_004780,bf_000652,safari
rid_006268,bf_000653,firefox
rid_011969,bf_000654,safari
rid_003207,bf_000655,chrome
rid_009570,bf_000656,edge
rid_004171,bf_000657,edge
rid_012324,bf_000658,edge
rid_015862,bf_000659,chrome
rid_008713,bf_000660,edge
rid_006043,bf_000661,safari
rid_018761,bf_000662,firefox
rid_014406,bf_000663,safari
rid_001180,bf_000664,firefox
rid_016794,bf_000665,chrome
rid_003628,bf_000666,chrome
rid_002446,bf_000667,safari
rid_003629,bf_000668,safari
rid_019450,bf_000669,chrome
rid_018966,bf_000670,edge
rid_013758,bf_000671,chrome
rid_017332,bf_000672,firefox
rid_004165,bf_000673,firefox
rid_000297,bf_000674,chrome
rid_006214,bf_000675,edge
rid_003980,bf_000676,chrome
rid_003194,bf_000677,firefox
rid_001700,bf_000678,chrome
rid_014870,bf_000679,safari
rid_003405,bf_000680,safari
rid_003039,bf_000681,firefox
rid_008346,bf_000682,chrome
rid_013627,bf_000683,chrome
rid_014196,bf_000684,safari
rid_018679,bf_000685,chrome
rid_004455,bf_000686,edge
rid_015185,bf_000687,safari
rid_019955,bf_000688,chrome
rid_005838,bf_000689,firefox
rid_005395,bf_000690,edge
rid_003006,bf_000691,edge
rid_007592,bf_000692,edge
rid_004597,bf_000693,chrome
rid_014338,bf_000694,chrome
rid_012896,bf_000695,edge
rid_007249,bf_000696,safari
rid_006606,bf_000697,safari
rid_008785,bf_000698,chrome
rid_003415,bf_000699,firefox
rid_014195,bf_000700,chrome
rid_015559,bf_000701,safari
rid_004435,bf_000702,edge
rid_015541,bf_000703,edge
rid_003471,bf_000704,edge
rid_011452,bf_000705,safari
rid_007742,bf_000706,firefox
rid_004499,bf_000707,safari
rid_014974,bf_000708,edge
rid_008291,bf_000709,firefox
rid_015135,bf_000710,chrome
rid_016796,bf_000711,firefox
rid_000537,bf_000712,safari
rid_004370,bf_000713,firefox
rid_018821,bf_000714,firefox
rid_006722,bf_000715,chrome
rid_006751,bf_000716,safari
rid_011109,bf_000717,firefox
rid_018091,bf_000718,firefox
rid_004015,bf_000719,firefox
rid_013375,bf_000720,safari
rid_007647,bf_000721,safari
rid_001675,bf_000722,safari
rid_003121,bf_000723,firefox
rid_005533,bf_000724,safari
rid_000674,bf_000725,firefox
rid_001370,bf_000726,safari
rid_012758,bf_000727,safari
rid_014121,bf_000728,firefox
rid_003754,bf_000729,chrome
rid_013988,bf_000730,chrome
rid_000662,bf_000731,edge
rid_015977,bf_000732,firefox
rid_005647,bf_000733,edge
rid_002355,bf_000734,firefox
rid_012189,bf_000735,firefox
rid_009734,bf_000736,firefox
rid_009879,bf_000737,edge
rid_005706,bf_000738,edge
rid_006476,bf_000739,chrome
rid_014985,bf_000740,firefox
rid_000807,bf_000741,safari
rid_008825,bf_000742,edge
rid_005287,bf_000743,safari
rid_007236,bf_000744,chrome
rid_014581,bf_000745,chrome
rid_012745,bf_000746,chrome
rid_007238,bf_000747,safari
rid_002561,bf_000748,safari
rid_018554,bf_000749,safari
rid_000761,bf_000750,firefox
rid_015321,bf_000751,firefox
rid_003921,bf_000752,edge
rid_000343,bf_000753,chrome
rid_008829,bf_000754,chrome
rid_019118,bf_000755,chrome
rid_018175,bf_000756,edge
rid_008261,bf_000757,safari
rid_011105,bf_000758,safari
rid_004546,bf_000759,firefox
rid_001251,bf_000760,safari
rid_001897,bf_000761,chrome
rid_006004,bf_000762,chrome
rid_004330,bf_000763,edge
rid_005207,bf_000764,edge
rid_005849,bf_000765,firefox
rid_019698,bf_000766,safari
rid_003370,bf_000767,chrome
rid_007377,bf_000768,safari
rid_015910,bf_000769,edge
rid_017310,bf_000770,safari
rid_019681,bf_000771,firefox
rid_004415,bf_000772,edge
rid_015497,bf_000773,chrome
rid_017050,bf_000774,firefox
rid_016100,bf_000775,chrome
rid_008846,bf_000776,chrome
rid_010629,bf_000777,safari
rid_018967,bf_000778,safari
rid_018545,bf_000779,chrome
rid_007780,bf_000780,safari
rid_016581,bf_000781,edge
rid_003081,bf_000782,firefox
rid_018206,bf_000783,edge
rid_005703,bf_000784,edge
rid_010112,bf_000785,firefox
rid_005942,bf_000786,safari
rid_011028,bf_000787,firefox
rid_016096,bf_000788,edge
rid_007469,bf_000789,chrome
rid_019228,bf_000790,chrome
rid_001486,bf_000791,chrome
rid_019415,bf_000792,safari
rid_019309,bf_000793,safari
rid_008312,bf_000794,chrome
rid_010422,bf_000795,firefox
rid_010910,bf_000796,safari
rid_019965,bf_000797,firefox
rid_012517,bf_000798,firefox
rid_013081,bf_000799,chrome
rid_011628,bf_000800,safari
rid_007056,bf_000801,chrome
rid_016155,bf_000802,firefox
rid_001009,bf_000803,chrome
rid_010473,bf_000804,firefox
rid_019239,bf_000805,edge
rid_014425,bf_000806,chrome
rid_006677,bf_000807,safari
rid_011699,bf_000808,edge
rid_004482,bf_000809,firefox
rid_016618,bf_000810,edge
rid_000502,bf_000811,safari
rid_010104,bf_000812,firefox
rid_012190,bf_000813,firefox
rid_004771,bf_000814,firefox
rid_018958,bf_000815,firefox
rid_003482,bf_000816,firefox
rid_019542,bf_000817,safari
rid_007000,bf_000818,safari
rid_000491,bf_000819,edge
rid_000267,bf_000820,edge
rid_010031,bf_000821,chrome
rid_007857,bf_000822,safari
rid_015232,bf_000823,chrome
rid_005166,bf_000824,edge
rid_013228,bf_000825,safari
rid_008416,bf_000826,safari
rid_007645,bf_000827,firefox
rid_005617,bf_000828,chrome
rid_008831,bf_000829,firefox
rid_001306,bf_000830,edge
rid_002035,bf_000831,edge
rid_002367,bf_000832,edge
rid_014862,bf_000833,edge
rid_001128,bf_000834,firefox
rid_016948,bf_000835,chrome
rid_007979,bf_000836,firefox
rid_014299,bf_000837,firefox
rid_004819,bf_000838,edge
rid_010866,bf_000839,edge
rid_018302,bf_000840,edge
rid_010460,bf_000841,edge
rid_019996,bf_000842,safari
rid_000566,bf_000843,firefox
rid_004526,bf_000844,firefox
rid_002480,bf_000845,chrome
rid_014379,bf_000846,firefox
rid_008311,bf_000847,firefox
rid_019787,bf_000848,chrome
rid_002220,bf_000849,chrome
rid_013305,bf_000850,firefox
rid_005797,bf_000851,edge
rid_006283,bf_000852,safari
rid_006338,bf_000853,firefox
rid_010998,bf_000854,safari
rid_005672,bf_000855,chrome
rid_011268,bf_000856,edge
rid_011779,bf_000857,chrome
rid_019281,bf_000858,safari
rid_018358,bf_000859,edge
rid_008813,bf_000860,chrome
rid_006836,bf_000861,safari
rid_017637,bf_000862,safari
rid_014096,bf_000863,edge
rid_018176,bf_000864,safari
rid_017576,bf_000865,safari
rid_009037,bf_000866,safari
rid_000381,bf_000867,edge
rid_017667,bf_000868,safari
rid_008554,bf_000869,chrome
rid_008009,bf_000870,edge
rid_008677,bf_000871,chrome
rid_016824,bf_000872,edge
rid_005699,bf_000873,safari
rid_014774,bf_000874,safari
rid_001407,bf_000875,edge
rid_003492,bf_000876,firefox
rid_010434,bf_000877,edge
rid_009093,bf_000878,safari
rid_018867,bf_000879,chrome
rid_016833,bf_000880,chrome
rid_016784,bf_000881,safari
rid_015628,bf_000882,chrome
rid_016274,bf_000883,firefox
rid_011846,bf_000884,firefox
rid_005808,bf_000885,chrome
rid_004985,bf_000886,chrome
rid_006392,bf_000887,chrome
rid_019948,bf_000888,firefox
rid_006054,bf_000889,safari
rid_000245,bf_000890,chrome
rid_016928,bf_000891,safari
rid_007907,bf_000892,edge
rid_004155,bf_000893,firefox
rid_019745,bf_000894,safari
rid_016318,bf_000895,chrome
rid_017559,bf_000896,firefox
rid_004097,bf_000897,firefox
rid_014238,bf_000898,firefox
rid_011066,bf_000899,firefox
